dataset,strategy,scope,run_id,rows,unique_task_ids,rows_with_boolean,rows_without_boolean,pass_count,fail_count,unknown_count,accuracy_eval_pct,accuracy_eval_ci95_low_pct,accuracy_eval_ci95_high_pct,fail_rate_eval_pct,unknown_rate_eval_pct,expected_task_count,accuracy_expected_pct,coverage_vs_expected_pct,missing_vs_expected
bigcodebench,agentic,unique_runs,,50,50,50,0,26,24,0,52.0,38.511512,65.203088,48.0,0.0,200,13.0,25.0,150
bigcodebench,agentic,run_id,run-12bd7e9b,10,10,10,0,7,3,0,70.0,39.677322,89.221071,30.0,0.0,200,3.5,5.0,190
bigcodebench,agentic,run_id,run-9ce586aa,40,40,40,0,19,21,0,47.5,32.93523,62.502893,52.5,0.0,200,9.5,20.0,160
bigcodebench,agentic_no_planner,unique_runs,,53,53,53,0,29,24,0,54.716981,41.453743,67.342632,45.283019,0.0,200,14.5,26.5,147
bigcodebench,agentic_no_planner,run_id,run-5b3d0ccc,10,10,10,0,7,3,0,70.0,39.677322,89.221071,30.0,0.0,200,3.5,5.0,190
bigcodebench,agentic_no_planner,run_id,run-e5a5ea70,43,43,43,0,22,21,0,51.162791,36.752064,65.382791,48.837209,0.0,200,11.0,21.5,157
bigcodebench,agentic_plus_verifier,unique_runs,,50,50,50,0,33,17,0,66.0,52.153569,77.56323,34.0,0.0,200,16.5,25.0,150
bigcodebench,agentic_plus_verifier,run_id,run-67fd4b71,31,31,31,0,18,13,0,58.064516,40.765964,73.584697,41.935484,0.0,200,9.0,15.5,169
bigcodebench,agentic_plus_verifier,run_id,run-6eaba5df,6,6,6,0,4,2,0,66.666667,29.998832,90.323067,33.333333,0.0,200,2.0,3.0,194
bigcodebench,agentic_plus_verifier,run_id,run-ee9b2df7,12,12,12,0,10,2,0,83.333333,55.196364,95.303585,16.666667,0.0,200,5.0,6.0,188
bigcodebench,monolithic,unique_runs,,57,57,57,0,28,29,0,49.122807,36.616068,61.74032,50.877193,0.0,200,14.0,28.5,143
bigcodebench,monolithic,run_id,run-6ec4ad81,10,10,10,0,6,4,0,60.0,31.266955,83.182242,40.0,0.0,200,3.0,5.0,190
bigcodebench,monolithic,run_id,run-d04514bf,47,47,47,0,22,25,0,46.808511,33.331462,60.767858,53.191489,0.0,200,11.0,23.5,153
humaneval,agentic,unique_runs,,10,10,10,0,10,0,0,100.0,72.245983,100.0,0.0,0.0,164,6.097561,6.097561,154
humaneval,agentic,run_id,run-621d5d7f,10,10,10,0,10,0,0,100.0,72.245983,100.0,0.0,0.0,164,6.097561,6.097561,154
humaneval,agentic_no_planner,unique_runs,,10,10,10,0,10,0,0,100.0,72.245983,100.0,0.0,0.0,164,6.097561,6.097561,154
humaneval,agentic_no_planner,run_id,run-b40543ac,10,10,10,0,10,0,0,100.0,72.245983,100.0,0.0,0.0,164,6.097561,6.097561,154
humaneval,agentic_plus_verifier,unique_runs,,9,9,9,0,9,0,0,100.0,70.084725,100.0,0.0,0.0,164,5.487805,5.487805,155
humaneval,agentic_plus_verifier,run_id,run-6076e3a9,9,9,9,0,9,0,0,100.0,70.084725,100.0,0.0,0.0,164,5.487805,5.487805,155
humaneval,monolithic,unique_runs,,16,16,16,0,16,0,0,100.0,80.638658,100.0,0.0,0.0,164,9.756098,9.756098,148
humaneval,monolithic,run_id,run-1fc2215b,16,16,16,0,16,0,0,100.0,80.638658,100.0,0.0,0.0,164,9.756098,9.756098,148
mbpp,agentic,unique_runs,,50,50,10,40,9,1,0,90.0,59.584361,98.212425,10.0,0.0,200,4.5,25.0,150
mbpp,agentic,run_id,run-4489c9b7,40,40,0,40,0,0,0,,,,,,200,0.0,20.0,160
mbpp,agentic,run_id,run-8efac691,10,10,10,0,9,1,0,90.0,59.584361,98.212425,10.0,0.0,200,4.5,5.0,190
mbpp,agentic_no_planner,unique_runs,,50,50,50,0,43,7,0,86.0,73.813543,93.049255,14.0,0.0,200,21.5,25.0,150
mbpp,agentic_no_planner,run_id,run-3f893dc6,39,39,39,0,33,6,0,84.615385,70.27023,92.752626,15.384615,0.0,200,16.5,19.5,161
mbpp,agentic_no_planner,run_id,run-eb31cc7e,11,11,11,0,10,1,0,90.909091,62.263537,98.376825,9.090909,0.0,200,5.0,5.5,189
mbpp,agentic_plus_verifier,unique_runs,,62,62,62,0,52,10,0,83.870968,72.793431,90.996028,16.129032,0.0,200,26.0,31.0,138
mbpp,agentic_plus_verifier,run_id,run-2148028d,1,1,1,0,1,0,0,100.0,20.654329,100.0,0.0,0.0,200,0.5,0.5,199
mbpp,agentic_plus_verifier,run_id,run-a196c992,52,52,52,0,44,8,0,84.615385,72.475656,91.99241,15.384615,0.0,200,22.0,26.0,148
mbpp,agentic_plus_verifier,run_id,run-c0dae165,9,9,9,0,7,2,0,77.777778,45.258334,93.677624,22.222222,0.0,200,3.5,4.5,191
mbpp,monolithic,unique_runs,,50,50,10,40,9,1,0,90.0,59.584361,98.212425,10.0,0.0,200,4.5,25.0,150
mbpp,monolithic,run_id,run-1903b2a1,22,22,0,22,0,0,0,,,,,,200,0.0,11.0,178
mbpp,monolithic,run_id,run-35e17514,10,10,10,0,9,1,0,90.0,59.584361,98.212425,10.0,0.0,200,4.5,5.0,190
mbpp,monolithic,run_id,run-466bf8ed,18,18,0,18,0,0,0,,,,,,200,0.0,9.0,182
