dataset,strategy,scope,run_id,rows,unique_task_ids,rows_with_boolean,rows_without_boolean,pass_count,fail_count,unknown_count,accuracy_eval_pct,accuracy_eval_ci95_low_pct,accuracy_eval_ci95_high_pct,fail_rate_eval_pct,unknown_rate_eval_pct,expected_task_count,accuracy_expected_pct,coverage_vs_expected_pct,missing_vs_expected
bigcodebench,agentic,all_runs,,50,50,50,0,26,24,0,52.0,38.511512,65.203088,48.0,0.0,200,13.0,25.0,150
bigcodebench,agentic_no_planner,all_runs,,53,53,53,0,29,24,0,54.716981,41.453743,67.342632,45.283019,0.0,200,14.5,26.5,147
bigcodebench,agentic_plus_verifier,all_runs,,49,49,49,0,32,17,0,65.306122,51.310935,77.07579,34.693878,0.0,200,16.0,24.5,151
bigcodebench,monolithic,all_runs,,57,57,57,0,28,29,0,49.122807,36.616068,61.74032,50.877193,0.0,200,14.0,28.5,143
humaneval,agentic,all_runs,,10,10,10,0,10,0,0,100.0,72.245983,100.0,0.0,0.0,164,6.097561,6.097561,154
humaneval,agentic_no_planner,all_runs,,10,10,10,0,10,0,0,100.0,72.245983,100.0,0.0,0.0,164,6.097561,6.097561,154
humaneval,agentic_plus_verifier,all_runs,,9,9,9,0,9,0,0,100.0,70.084725,100.0,0.0,0.0,164,5.487805,5.487805,155
humaneval,monolithic,all_runs,,16,16,16,0,16,0,0,100.0,80.638658,100.0,0.0,0.0,164,9.756098,9.756098,148
mbpp,agentic,all_runs,,50,50,10,40,9,1,0,90.0,59.584361,98.212425,10.0,0.0,200,4.5,25.0,150
mbpp,agentic_no_planner,all_runs,,50,50,50,0,43,7,0,86.0,73.813543,93.049255,14.0,0.0,200,21.5,25.0,150
mbpp,agentic_plus_verifier,all_runs,,62,62,62,0,52,10,0,83.870968,72.793431,90.996028,16.129032,0.0,200,26.0,31.0,138
mbpp,monolithic,all_runs,,50,50,10,40,9,1,0,90.0,59.584361,98.212425,10.0,0.0,200,4.5,25.0,150
