dataset,strategy,task_id,run_id,critic_verdict_first_pass,verifier_invoked,verifier_decision,repair_attempted,final_passed,pre_verifier_exec_invoked,pre_verifier_exec_passed,verifier_pre_repair_exec_passed,verifier_post_repair_exec_passed,critic_true_positive,critic_true_negative,blame_executor,blame_critic_false_fail,blame_critic_false_pass,verifier_strict_eligible,verifier_help,verifier_harm,executor_blame_from_critic,critic_blame_from_verifier,blame_basis,verifier_blame_basis
bigcodebench,agentic,BigCodeBench/1042,run-9ce586aa,FAIL,0,,0,False,False,,,,0,0,0,0,0,0,0,0,1,,checkpoint_missing,not_applicable
bigcodebench,agentic,BigCodeBench/1051,run-12bd7e9b,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
bigcodebench,agentic,BigCodeBench/107,run-9ce586aa,FAIL,0,,0,True,False,,,,0,0,0,0,0,0,0,0,1,,checkpoint_missing,not_applicable
bigcodebench,agentic,BigCodeBench/1071,run-9ce586aa,PASS,0,,0,False,False,,,,0,0,0,0,0,0,0,0,0,,checkpoint_missing,not_applicable
bigcodebench,agentic,BigCodeBench/1095,run-9ce586aa,FAIL,0,,0,False,False,,,,0,0,0,0,0,0,0,0,1,,checkpoint_missing,not_applicable
bigcodebench,agentic,BigCodeBench/1127,run-9ce586aa,PASS,0,,0,True,False,,,,0,0,0,0,0,0,0,0,0,,checkpoint_missing,not_applicable
bigcodebench,agentic,BigCodeBench/12,run-9ce586aa,FAIL,0,,0,False,False,,,,0,0,0,0,0,0,0,0,1,,checkpoint_missing,not_applicable
bigcodebench,agentic,BigCodeBench/149,run-9ce586aa,PASS,0,,0,True,False,,,,0,0,0,0,0,0,0,0,0,,checkpoint_missing,not_applicable
bigcodebench,agentic,BigCodeBench/157,run-9ce586aa,FAIL,0,,0,False,False,,,,0,0,0,0,0,0,0,0,1,,checkpoint_missing,not_applicable
bigcodebench,agentic,BigCodeBench/17,run-9ce586aa,PASS,0,,0,False,False,,,,0,0,0,0,0,0,0,0,0,,checkpoint_missing,not_applicable
bigcodebench,agentic,BigCodeBench/200,run-9ce586aa,PASS,0,,0,False,False,,,,0,0,0,0,0,0,0,0,0,,checkpoint_missing,not_applicable
bigcodebench,agentic,BigCodeBench/213,run-12bd7e9b,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
bigcodebench,agentic,BigCodeBench/22,run-12bd7e9b,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
bigcodebench,agentic,BigCodeBench/304,run-9ce586aa,PASS,0,,0,True,False,,,,0,0,0,0,0,0,0,0,0,,checkpoint_missing,not_applicable
bigcodebench,agentic,BigCodeBench/328,run-9ce586aa,PASS,0,,0,True,False,,,,0,0,0,0,0,0,0,0,0,,checkpoint_missing,not_applicable
bigcodebench,agentic,BigCodeBench/33,run-12bd7e9b,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
bigcodebench,agentic,BigCodeBench/335,run-12bd7e9b,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
bigcodebench,agentic,BigCodeBench/37,run-9ce586aa,FAIL,0,,0,False,False,,,,0,0,0,0,0,0,0,0,1,,checkpoint_missing,not_applicable
bigcodebench,agentic,BigCodeBench/375,run-9ce586aa,PASS,0,,0,True,False,,,,0,0,0,0,0,0,0,0,0,,checkpoint_missing,not_applicable
bigcodebench,agentic,BigCodeBench/384,run-9ce586aa,FAIL,0,,0,False,False,,,,0,0,0,0,0,0,0,0,1,,checkpoint_missing,not_applicable
bigcodebench,agentic,BigCodeBench/458,run-9ce586aa,FAIL,0,,0,False,False,,,,0,0,0,0,0,0,0,0,1,,checkpoint_missing,not_applicable
bigcodebench,agentic,BigCodeBench/464,run-9ce586aa,PASS,0,,0,True,False,,,,0,0,0,0,0,0,0,0,0,,checkpoint_missing,not_applicable
bigcodebench,agentic,BigCodeBench/479,run-12bd7e9b,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
bigcodebench,agentic,BigCodeBench/48,run-9ce586aa,PASS,0,,0,False,False,,,,0,0,0,0,0,0,0,0,0,,checkpoint_missing,not_applicable
bigcodebench,agentic,BigCodeBench/487,run-9ce586aa,FAIL,0,,0,True,False,,,,0,0,0,0,0,0,0,0,1,,checkpoint_missing,not_applicable
bigcodebench,agentic,BigCodeBench/49,run-9ce586aa,FAIL,0,,0,False,False,,,,0,0,0,0,0,0,0,0,1,,checkpoint_missing,not_applicable
bigcodebench,agentic,BigCodeBench/499,run-9ce586aa,PASS,0,,0,True,False,,,,0,0,0,0,0,0,0,0,0,,checkpoint_missing,not_applicable
bigcodebench,agentic,BigCodeBench/510,run-9ce586aa,FAIL,0,,0,True,False,,,,0,0,0,0,0,0,0,0,1,,checkpoint_missing,not_applicable
bigcodebench,agentic,BigCodeBench/557,run-9ce586aa,FAIL,0,,0,False,False,,,,0,0,0,0,0,0,0,0,1,,checkpoint_missing,not_applicable
bigcodebench,agentic,BigCodeBench/587,run-12bd7e9b,FAIL,0,,0,False,True,False,,,1,0,1,0,0,0,0,0,1,,checkpoint_exec_only,not_applicable
bigcodebench,agentic,BigCodeBench/611,run-9ce586aa,FAIL,0,,0,False,False,,,,0,0,0,0,0,0,0,0,1,,checkpoint_missing,not_applicable
bigcodebench,agentic,BigCodeBench/617,run-9ce586aa,FAIL,0,,0,False,False,,,,0,0,0,0,0,0,0,0,1,,checkpoint_missing,not_applicable
