dataset,strategy,task_id,run_id,critic_verdict_first_pass,verifier_invoked,verifier_decision,repair_attempted,final_passed,pre_verifier_exec_invoked,pre_verifier_exec_passed,verifier_pre_repair_exec_passed,verifier_post_repair_exec_passed,critic_true_positive,critic_true_negative,blame_executor,blame_critic_false_fail,blame_critic_false_pass,verifier_strict_eligible,verifier_help,verifier_harm,executor_blame_from_critic,critic_blame_from_verifier,blame_basis,verifier_blame_basis
bigcodebench,agentic_no_planner,BigCodeBench/1042,run-e5a5ea70,FAIL,0,,0,False,False,,,,0,0,0,0,0,0,0,0,1,,checkpoint_missing,not_applicable
bigcodebench,agentic_no_planner,BigCodeBench/1051,run-5b3d0ccc,FAIL,0,,0,True,True,True,,,0,0,0,1,0,0,0,0,1,,checkpoint_exec_only,not_applicable
bigcodebench,agentic_no_planner,BigCodeBench/107,run-e5a5ea70,PASS,0,,0,True,False,,,,0,0,0,0,0,0,0,0,0,,checkpoint_missing,not_applicable
bigcodebench,agentic_no_planner,BigCodeBench/1071,run-e5a5ea70,FAIL,0,,0,False,False,,,,0,0,0,0,0,0,0,0,1,,checkpoint_missing,not_applicable
bigcodebench,agentic_no_planner,BigCodeBench/1095,run-e5a5ea70,PASS,0,,0,False,False,,,,0,0,0,0,0,0,0,0,0,,checkpoint_missing,not_applicable
bigcodebench,agentic_no_planner,BigCodeBench/1127,run-e5a5ea70,FAIL,0,,0,False,False,,,,0,0,0,0,0,0,0,0,1,,checkpoint_missing,not_applicable
bigcodebench,agentic_no_planner,BigCodeBench/12,run-e5a5ea70,FAIL,0,,0,False,False,,,,0,0,0,0,0,0,0,0,1,,checkpoint_missing,not_applicable
bigcodebench,agentic_no_planner,BigCodeBench/149,run-e5a5ea70,PASS,0,,0,True,False,,,,0,0,0,0,0,0,0,0,0,,checkpoint_missing,not_applicable
bigcodebench,agentic_no_planner,BigCodeBench/157,run-e5a5ea70,FAIL,0,,0,False,False,,,,0,0,0,0,0,0,0,0,1,,checkpoint_missing,not_applicable
bigcodebench,agentic_no_planner,BigCodeBench/17,run-e5a5ea70,FAIL,0,,0,False,False,,,,0,0,0,0,0,0,0,0,1,,checkpoint_missing,not_applicable
bigcodebench,agentic_no_planner,BigCodeBench/200,run-e5a5ea70,FAIL,0,,0,False,False,,,,0,0,0,0,0,0,0,0,1,,checkpoint_missing,not_applicable
bigcodebench,agentic_no_planner,BigCodeBench/213,run-5b3d0ccc,FAIL,0,,0,True,True,True,,,0,0,0,1,0,0,0,0,1,,checkpoint_exec_only,not_applicable
bigcodebench,agentic_no_planner,BigCodeBench/22,run-5b3d0ccc,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
bigcodebench,agentic_no_planner,BigCodeBench/304,run-e5a5ea70,FAIL,0,,0,True,False,,,,0,0,0,0,0,0,0,0,1,,checkpoint_missing,not_applicable
bigcodebench,agentic_no_planner,BigCodeBench/328,run-e5a5ea70,PASS,0,,0,True,False,,,,0,0,0,0,0,0,0,0,0,,checkpoint_missing,not_applicable
bigcodebench,agentic_no_planner,BigCodeBench/33,run-5b3d0ccc,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
bigcodebench,agentic_no_planner,BigCodeBench/335,run-5b3d0ccc,PASS,0,,0,False,True,False,,,0,0,0,0,1,0,0,0,0,,checkpoint_exec_only,not_applicable
bigcodebench,agentic_no_planner,BigCodeBench/37,run-e5a5ea70,FAIL,0,,0,False,False,,,,0,0,0,0,0,0,0,0,1,,checkpoint_missing,not_applicable
bigcodebench,agentic_no_planner,BigCodeBench/375,run-e5a5ea70,PASS,0,,0,True,False,,,,0,0,0,0,0,0,0,0,0,,checkpoint_missing,not_applicable
bigcodebench,agentic_no_planner,BigCodeBench/384,run-e5a5ea70,FAIL,0,,0,True,False,,,,0,0,0,0,0,0,0,0,1,,checkpoint_missing,not_applicable
bigcodebench,agentic_no_planner,BigCodeBench/458,run-e5a5ea70,FAIL,0,,0,False,False,,,,0,0,0,0,0,0,0,0,1,,checkpoint_missing,not_applicable
bigcodebench,agentic_no_planner,BigCodeBench/464,run-e5a5ea70,PASS,0,,0,True,False,,,,0,0,0,0,0,0,0,0,0,,checkpoint_missing,not_applicable
bigcodebench,agentic_no_planner,BigCodeBench/479,run-5b3d0ccc,FAIL,0,,0,True,True,True,,,0,0,0,1,0,0,0,0,1,,checkpoint_exec_only,not_applicable
bigcodebench,agentic_no_planner,BigCodeBench/48,run-e5a5ea70,PASS,0,,0,False,False,,,,0,0,0,0,0,0,0,0,0,,checkpoint_missing,not_applicable
bigcodebench,agentic_no_planner,BigCodeBench/487,run-e5a5ea70,FAIL,0,,0,True,False,,,,0,0,0,0,0,0,0,0,1,,checkpoint_missing,not_applicable
bigcodebench,agentic_no_planner,BigCodeBench/49,run-e5a5ea70,PASS,0,,0,False,False,,,,0,0,0,0,0,0,0,0,0,,checkpoint_missing,not_applicable
bigcodebench,agentic_no_planner,BigCodeBench/499,run-e5a5ea70,PASS,0,,0,True,False,,,,0,0,0,0,0,0,0,0,0,,checkpoint_missing,not_applicable
bigcodebench,agentic_no_planner,BigCodeBench/509,run-e5a5ea70,FAIL,0,,0,True,False,,,,0,0,0,0,0,0,0,0,1,,checkpoint_missing,not_applicable
bigcodebench,agentic_no_planner,BigCodeBench/510,run-e5a5ea70,PASS,0,,0,True,False,,,,0,0,0,0,0,0,0,0,0,,checkpoint_missing,not_applicable
bigcodebench,agentic_no_planner,BigCodeBench/557,run-e5a5ea70,FAIL,0,,0,False,False,,,,0,0,0,0,0,0,0,0,1,,checkpoint_missing,not_applicable
bigcodebench,agentic_no_planner,BigCodeBench/587,run-5b3d0ccc,FAIL,0,,0,True,True,False,,,1,0,1,0,0,0,0,0,1,,checkpoint_exec_only,not_applicable
bigcodebench,agentic_no_planner,BigCodeBench/611,run-e5a5ea70,FAIL,0,,0,False,False,,,,0,0,0,0,0,0,0,0,1,,checkpoint_missing,not_applicable
bigcodebench,agentic_no_planner,BigCodeBench/617,run-e5a5ea70,PASS,0,,0,False,False,,,,0,0,0,0,0,0,0,0,0,,checkpoint_missing,not_applicable
bigcodebench,agentic_no_planner,BigCodeBench/624,run-e5a5ea70,PASS,0,,0,True,False,,,,0,0,0,0,0,0,0,0,0,,checkpoint_missing,not_applicable
bigcodebench,agentic_no_planner,BigCodeBench/625,run-e5a5ea70,PASS,0,,0,True,False,,,,0,0,0,0,0,0,0,0,0,,checkpoint_missing,not_applicable
bigcodebench,agentic_no_planner,BigCodeBench/645,run-5b3d0ccc,PASS,0,,0,False,True,False,,,0,0,0,0,1,0,0,0,0,,checkpoint_exec_only,not_applicable
bigcodebench,agentic_no_planner,BigCodeBench/718,run-e5a5ea70,FAIL,0,,0,True,False,,,,0,0,0,0,0,0,0,0,1,,checkpoint_missing,not_applicable
bigcodebench,agentic_no_planner,BigCodeBench/798,run-e5a5ea70,FAIL,0,,0,False,False,,,,0,0,0,0,0,0,0,0,1,,checkpoint_missing,not_applicable
