dataset,strategy,task_id,run_id,critic_verdict_first_pass,verifier_invoked,verifier_decision,repair_attempted,final_passed,pre_verifier_exec_invoked,pre_verifier_exec_passed,verifier_pre_repair_exec_passed,verifier_post_repair_exec_passed,critic_true_positive,critic_true_negative,blame_executor,blame_critic_false_fail,blame_critic_false_pass,verifier_strict_eligible,verifier_help,verifier_harm,executor_blame_from_critic,critic_blame_from_verifier,blame_basis,verifier_blame_basis
bigcodebench,agentic_plus_verifier,BigCodeBench/1042,run-67fd4b71,FAIL,1,REJECT,1,False,True,False,False,False,1,0,1,0,0,1,0,0,1,0,checkpoint_exec_only,repair_checkpoint_delta
bigcodebench,agentic_plus_verifier,BigCodeBench/1051,run-6eaba5df,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
bigcodebench,agentic_plus_verifier,BigCodeBench/107,run-ee9b2df7,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
bigcodebench,agentic_plus_verifier,BigCodeBench/1071,run-67fd4b71,FAIL,1,REJECT,1,False,True,False,False,False,1,0,1,0,0,1,0,0,1,0,checkpoint_exec_only,repair_checkpoint_delta
bigcodebench,agentic_plus_verifier,BigCodeBench/1095,run-67fd4b71,PASS,0,,0,False,True,False,,,0,0,0,0,1,0,0,0,0,,checkpoint_exec_only,not_applicable
bigcodebench,agentic_plus_verifier,BigCodeBench/1127,run-67fd4b71,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
bigcodebench,agentic_plus_verifier,BigCodeBench/12,run-67fd4b71,FAIL,1,REJECT,1,False,True,False,False,False,1,0,1,0,0,1,0,0,1,0,checkpoint_exec_only,repair_checkpoint_delta
bigcodebench,agentic_plus_verifier,BigCodeBench/149,run-67fd4b71,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
bigcodebench,agentic_plus_verifier,BigCodeBench/157,run-67fd4b71,FAIL,1,REJECT,1,False,True,False,False,False,1,0,1,0,0,1,0,0,1,0,checkpoint_exec_only,repair_checkpoint_delta
bigcodebench,agentic_plus_verifier,BigCodeBench/17,run-67fd4b71,PASS,0,,0,False,True,False,,,0,0,0,0,1,0,0,0,0,,checkpoint_exec_only,not_applicable
bigcodebench,agentic_plus_verifier,BigCodeBench/200,run-ee9b2df7,PASS,0,,0,False,True,False,,,0,0,0,0,1,0,0,0,0,,checkpoint_exec_only,not_applicable
bigcodebench,agentic_plus_verifier,BigCodeBench/213,run-ee9b2df7,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
bigcodebench,agentic_plus_verifier,BigCodeBench/22,run-ee9b2df7,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
bigcodebench,agentic_plus_verifier,BigCodeBench/304,run-6eaba5df,PASS,0,,0,True,True,False,,,0,0,0,0,1,0,0,0,0,,checkpoint_exec_only,not_applicable
bigcodebench,agentic_plus_verifier,BigCodeBench/328,run-6eaba5df,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
bigcodebench,agentic_plus_verifier,BigCodeBench/33,run-ee9b2df7,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
bigcodebench,agentic_plus_verifier,BigCodeBench/335,run-ee9b2df7,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
bigcodebench,agentic_plus_verifier,BigCodeBench/37,run-ee9b2df7,FAIL,1,REJECT,1,True,True,True,True,True,0,0,0,1,0,1,0,0,1,0,checkpoint_exec_only,repair_checkpoint_delta
bigcodebench,agentic_plus_verifier,BigCodeBench/375,run-67fd4b71,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
bigcodebench,agentic_plus_verifier,BigCodeBench/384,run-67fd4b71,FAIL,1,REJECT,1,True,True,False,False,True,1,0,1,0,0,1,1,0,1,0,checkpoint_exec_only,repair_checkpoint_delta
bigcodebench,agentic_plus_verifier,BigCodeBench/458,run-6eaba5df,FAIL,1,REJECT,1,False,True,False,False,False,1,0,1,0,0,1,0,0,1,0,checkpoint_exec_only,repair_checkpoint_delta
bigcodebench,agentic_plus_verifier,BigCodeBench/464,run-67fd4b71,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
bigcodebench,agentic_plus_verifier,BigCodeBench/479,run-ee9b2df7,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
