dataset,strategy,task_id,expected_task_count,artifact_source,artifact_found,model,passed,error_type,canonical_parse_error,artifact_parse_error,canonical_char_count,artifact_char_count,canonical_line_count,artifact_line_count,canonical_nonempty_line_count,artifact_nonempty_line_count,canonical_parse_ok,artifact_parse_ok,canonical_ast_node_count,artifact_ast_node_count,canonical_function_count,artifact_function_count,canonical_branch_count,artifact_branch_count,canonical_loop_count,artifact_loop_count,canonical_call_count,artifact_call_count,canonical_comprehension_count,artifact_comprehension_count,canonical_return_count,artifact_return_count,canonical_max_control_nesting_depth,artifact_max_control_nesting_depth,canonical_cyclomatic_proxy,artifact_cyclomatic_proxy,lexical_cosine_similarity,token_cosine_similarity,line_count_delta,nonempty_line_count_delta,ast_node_count_delta,branch_count_delta,loop_count_delta,call_count_delta,max_control_nesting_depth_delta,cyclomatic_proxy_delta,line_count_ratio,ast_node_count_ratio,cyclomatic_proxy_ratio
bigcodebench,monolithic,BigCodeBench/1003,200,,0,,,,,empty,677,0,21,0,20,0,1,0,122,,1,,3,,2,,9,,1,,1,,2,,6,,,,-21,-20,,,,,,,0.0,,
bigcodebench,monolithic,BigCodeBench/1005,200,,0,,,,,empty,626,0,18,0,17,0,1,0,121,,1,,3,,0,,8,,0,,2,,2,,4,,,,-18,-17,,,,,,,0.0,,
bigcodebench,monolithic,BigCodeBench/1016,200,,0,,,,,empty,861,0,25,0,24,0,1,0,165,,1,,3,,0,,14,,0,,1,,2,,5,,,,-25,-24,,,,,,,0.0,,
bigcodebench,monolithic,BigCodeBench/1029,200,,0,,,,,empty,302,0,9,0,8,0,1,0,73,,1,,0,,1,,5,,1,,1,,1,,2,,,,-9,-8,,,,,,,0.0,,
bigcodebench,monolithic,BigCodeBench/103,200,,0,,,,,empty,687,0,17,0,16,0,1,0,118,,1,,2,,0,,9,,0,,1,,2,,4,,,,-17,-16,,,,,,,0.0,,
bigcodebench,monolithic,BigCodeBench/104,200,,0,,,,,empty,803,0,17,0,16,0,1,0,175,,2,,1,,2,,13,,1,,1,,2,,5,,,,-17,-16,,,,,,,0.0,,
bigcodebench,monolithic,BigCodeBench/1042,200,predictions_executable,1,anthropic/claude-sonnet-4.5,False,AssertionError,,,796,822,24,23,23,22,1,1,164,141,1,1,0,0,0,0,15,11,0,0,0,0,0,0,1,1,0.6603595930613898,0.8777778224219411,-1,-1,-23,0,0,-4,0,0,0.9583333333333334,0.8597560975609756,1.0
bigcodebench,monolithic,BigCodeBench/1050,200,,0,,,,,empty,583,0,18,0,17,0,1,0,127,,1,,2,,1,,10,,0,,1,,2,,4,,,,-18,-17,,,,,,,0.0,,
bigcodebench,monolithic,BigCodeBench/1051,200,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,720,722,17,22,16,21,1,1,175,159,1,1,2,2,1,1,20,16,1,1,2,2,1,1,4,4,0.8895380286898654,0.9713911577229815,5,5,-16,0,0,-4,0,0,1.2941176470588236,0.9085714285714286,1.0
bigcodebench,monolithic,BigCodeBench/1068,200,,0,,,,,empty,536,0,15,0,14,0,1,0,89,,1,,3,,0,,6,,0,,1,,2,,5,,,,-15,-14,,,,,,,0.0,,
