dataset,strategy,task_id,run_id,critic_verdict_first_pass,verifier_invoked,verifier_decision,repair_attempted,final_passed,pre_verifier_exec_invoked,pre_verifier_exec_passed,verifier_pre_repair_exec_passed,verifier_post_repair_exec_passed,critic_true_positive,critic_true_negative,blame_executor,blame_critic_false_fail,blame_critic_false_pass,verifier_strict_eligible,verifier_help,verifier_harm,executor_blame_from_critic,critic_blame_from_verifier,blame_basis,verifier_blame_basis
bigcodebench,monolithic,BigCodeBench/1042,run-d04514bf,UNKNOWN,0,,0,False,,,,,0,0,0,0,0,0,0,0,,,checkpoint_missing,not_applicable
bigcodebench,monolithic,BigCodeBench/1051,run-6ec4ad81,UNKNOWN,0,,0,True,,,,,0,0,0,0,0,0,0,0,,,checkpoint_missing,not_applicable
bigcodebench,monolithic,BigCodeBench/107,run-d04514bf,UNKNOWN,0,,0,False,,,,,0,0,0,0,0,0,0,0,,,checkpoint_missing,not_applicable
bigcodebench,monolithic,BigCodeBench/1071,run-d04514bf,UNKNOWN,0,,0,False,,,,,0,0,0,0,0,0,0,0,,,checkpoint_missing,not_applicable
bigcodebench,monolithic,BigCodeBench/1095,run-d04514bf,UNKNOWN,0,,0,False,,,,,0,0,0,0,0,0,0,0,,,checkpoint_missing,not_applicable
bigcodebench,monolithic,BigCodeBench/1127,run-d04514bf,UNKNOWN,0,,0,False,,,,,0,0,0,0,0,0,0,0,,,checkpoint_missing,not_applicable
bigcodebench,monolithic,BigCodeBench/12,run-d04514bf,UNKNOWN,0,,0,False,,,,,0,0,0,0,0,0,0,0,,,checkpoint_missing,not_applicable
bigcodebench,monolithic,BigCodeBench/149,run-d04514bf,UNKNOWN,0,,0,True,,,,,0,0,0,0,0,0,0,0,,,checkpoint_missing,not_applicable
bigcodebench,monolithic,BigCodeBench/157,run-d04514bf,UNKNOWN,0,,0,False,,,,,0,0,0,0,0,0,0,0,,,checkpoint_missing,not_applicable
bigcodebench,monolithic,BigCodeBench/164,run-d04514bf,UNKNOWN,0,,0,True,,,,,0,0,0,0,0,0,0,0,,,checkpoint_missing,not_applicable
bigcodebench,monolithic,BigCodeBench/17,run-d04514bf,UNKNOWN,0,,0,False,,,,,0,0,0,0,0,0,0,0,,,checkpoint_missing,not_applicable
bigcodebench,monolithic,BigCodeBench/200,run-d04514bf,UNKNOWN,0,,0,False,,,,,0,0,0,0,0,0,0,0,,,checkpoint_missing,not_applicable
