dataset,strategy,task_id,run_id,ts_unix,pipeline_config,trigger_policy,verifier_invoked,verifier_decision,repair_attempted,origin_stage,run_total_tokens,end_to_end_latency_s,parse_error_type,parse_error_text,planner,executor,critic,verifier,planner_total_tokens,executor_total_tokens,critic_total_tokens,verifier_total_tokens,planner_latency_s,executor_latency_s,critic_latency_s,verifier_latency_s,planner_error,executor_repair,executor_harm,verifier_repair,verifier_harm,run_index_for_task,run_count_for_task,is_latest_for_task,has_boolean_result,passed,error_type,error
bigcodebench,monolithic,BigCodeBench/842,run-6ec4ad81,1773676755.792171,bigcodebench_monolithic,monolithic,0,,0,Monolithic,2432,18.953851,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
bigcodebench,monolithic,BigCodeBench/213,run-6ec4ad81,1773676772.549392,bigcodebench_monolithic,monolithic,0,,0,Monolithic,1932,16.742724,,,,,,,,,,,,,,,,,,,,1,1,1,1,False,AssertionError,"======================================================================
FAIL: test_case_1 (builtins.TestCases.test_case_1)
----------------------------------------------------------------------
Traceback (most recent call last):
  File ""C:\Python314\Lib\unittest\mock.py"", line 1432, in patched
    return func(*newargs, **newkeywargs)
  File ""<string>"", line 13, in test_case_1
AssertionError: 4 != 5

----------------------------------------------------------------------
Ran 5 tests in 1.870s

FAILED (failures=1)"
bigcodebench,monolithic,BigCodeBench/479,run-6ec4ad81,1773676787.521557,bigcodebench_monolithic,monolithic,0,,0,Monolithic,1960,14.954896,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
bigcodebench,monolithic,BigCodeBench/22,run-6ec4ad81,1773676801.673894,bigcodebench_monolithic,monolithic,0,,0,Monolithic,1740,14.140635,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
bigcodebench,monolithic,BigCodeBench/587,run-6ec4ad81,1773676820.064486,bigcodebench_monolithic,monolithic,0,,0,Monolithic,2337,18.374953,,,,,,,,,,,,,,,,,,,,1,1,1,1,False,TimeoutError,Timeout after 30.0s
bigcodebench,monolithic,BigCodeBench/1051,run-6ec4ad81,1773676841.339264,bigcodebench_monolithic,monolithic,0,,0,Monolithic,2580,21.241132,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
bigcodebench,monolithic,BigCodeBench/645,run-6ec4ad81,1773676853.151277,bigcodebench_monolithic,monolithic,0,,0,Monolithic,1262,11.770707,,,,,,,,,,,,,,,,,,,,1,1,1,1,False,AssertionError,"======================================================================
ERROR: test_empty_csv (builtins.TestCases.test_empty_csv)
Test reading an empty CSV file.
----------------------------------------------------------------------
Traceback (most recent call last):
  File ""<string>"", line 30, in test_empty_csv
  File ""<string>"", line 9, in task_func
  File ""C:\Users\jbeem\AppData\Roaming\Python\Python314\site-packages\pandas\io\parsers\readers.py"", line 1026, in read_csv
    return _read(filepath_or_buffer, kwds)
  File ""C:\Users\jbeem\AppData\Roaming\Python\Python314\site-packages\pandas\io\parsers\readers.py"", line 620, in _read
    parser = TextFileReader(filepath_or_buffer, **kwds)
  File ""C:\Users\jbeem\AppData\Roaming\Python\Python314\site-packages\pandas\io\parsers\readers.py"", line 1620, in __init__
    self._engine = self._make_engine(f, self.engine)
                   ~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^
  File ""C:\Users\jbeem\AppData\Roaming\Python\Python314\site-packages\pandas\io\parsers\readers.py"", line 1898, in _make_engine
    return mapping[engine](f, **self.options)
           ~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\jbeem\AppData\Roaming\Python\Python314\site-packages\pandas\io\parsers\c_parser_wrapper.py"", line 93, in __init__
    self._reader = parsers.TextReader(src, **kwds)
                   ~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^
  File ""pandas/_libs/parsers.pyx"", line 581, in pandas._libs.parsers.TextReader.__cinit__
pandas.errors.EmptyDataError: No columns to parse from file

----------------------------------------------------------------------
Ran 5 tests in 0.072s

FAILED (errors=1)"
bigcodebench,monolithic,BigCodeBench/335,run-6ec4ad81,1773676867.033348,bigcodebench_monolithic,monolithic,0,,0,Monolithic,1565,13.843657,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
bigcodebench,monolithic,BigCodeBench/33,run-6ec4ad81,1773676878.733297,bigcodebench_monolithic,monolithic,0,,0,Monolithic,1374,11.67025,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
bigcodebench,monolithic,BigCodeBench/942,run-6ec4ad81,1773676893.751887,bigcodebench_monolithic,monolithic,0,,0,Monolithic,2074,15.000371,,,,,,,,,,,,,,,,,,,,1,1,1,1,False,AssertionError,"======================================================================
FAIL: test_case_1 (builtins.TestCases.test_case_1)
Test with default parameters.
----------------------------------------------------------------------
Traceback (most recent call last):
  File ""<string>"", line 11, in test_case_1
AssertionError: 'Sales Report by Category' != 'Category-wise Sales Trends'
- Sales Report by Category
+ Category-wise Sales Trends


----------------------------------------------------------------------
Ran 5 tests in 1.073s

FAILED (failures=1)"
bigcodebench,monolithic,BigCodeBench/200,run-d04514bf,1774015821.999394,bigcodebench_monolithic,monolithic,0,,0,Monolithic,1518,17.052762,,,,,,,,,,,,,,,,,,,,1,1,1,1,False,TimeoutError,Timeout after 30.0s
bigcodebench,monolithic,BigCodeBench/107,run-d04514bf,1774015840.776245,bigcodebench_monolithic,monolithic,0,,0,Monolithic,2015,18.758059,,,,,,,,,,,,,,,,,,,,1,1,1,1,False,AssertionError,"======================================================================
ERROR: test_invalid_date_column (builtins.TestCases.test_invalid_date_column)
----------------------------------------------------------------------
Traceback (most recent call last):
  File ""<string>"", line 24, in test_invalid_date_column
  File ""<string>"", line 14, in task_func
  File ""C:\Users\jbeem\AppData\Roaming\Python\Python314\site-packages\pandas\core\series.py"", line 4943, in apply
    ).apply()
      ~~~~~^^
  File ""C:\Users\jbeem\AppData\Roaming\Python\Python314\site-packages\pandas\core\apply.py"", line 1422, in apply
    return self.apply_standard()
           ~~~~~~~~~~~~~~~~~~~^^
  File ""C:\Users\jbeem\AppData\Roaming\Python\Python314\site-packages\pandas\core\apply.py"", line 1502, in apply_standard
    mapped = obj._map_values(
        mapper=curried, na_action=action, convert=self.convert_dtype
    )
  File ""C:\Users\jbeem\AppData\Roaming\Python\Python314\site-packages\pandas\core\base.py"", line 925, in _map_values
    return algorithms.map_array(arr, mapper, na_action=na_action, convert=convert)
           ~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\jbeem\AppData\Roaming\Python\Python314\site-packages\pandas\core\algorithms.py"", line 1743, in map_array
    return lib.map_infer(values, mapper, convert=convert)
           ~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""pandas/_libs/lib.pyx"", line 2999, in pandas._libs.lib.map_infer
  File ""<string>"", line 14, in <lambda>
AttributeError: 'str' object has no attribute 'toordinal'

======================================================================
FAIL: test_basic_functionality (builtins.TestCases.test_basic_functionality)
----------------------------------------------------------------------
Traceback (most recent call last):
  File ""<string>"", line 12, in test_basic_functionality
AssertionError: 3 != 1

----------------------------------------------------------------------
Ran 5 tests in 2.613s

FAILED (failures=1, errors=1)"
bigcodebench,monolithic,BigCodeBench/37,run-d04514bf,1774015856.906322,bigcodebench_monolithic,monolithic,0,,0,Monolithic,1923,16.112402,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
bigcodebench,monolithic,BigCodeBench/908,run-d04514bf,1774015870.922806,bigcodebench_monolithic,monolithic,0,,0,Monolithic,1655,13.998839,,,,,,,,,,,,,,,,,,,,1,1,1,1,False,AssertionError,"======================================================================
FAIL: test_invalid_directory (builtins.TestCases.test_invalid_directory)
----------------------------------------------------------------------
Traceback (most recent call last):
  File ""<string>"", line 35, in test_invalid_directory
AssertionError: FileNotFoundError not raised

----------------------------------------------------------------------
Ran 5 tests in 0.924s

FAILED (failures=1)"
bigcodebench,monolithic,BigCodeBench/487,run-d04514bf,1774015887.700289,bigcodebench_monolithic,monolithic,0,,0,Monolithic,2034,16.748511,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
bigcodebench,monolithic,BigCodeBench/458,run-d04514bf,1774015904.832708,bigcodebench_monolithic,monolithic,0,,0,Monolithic,2087,17.116942,,,,,,,,,,,,,,,,,,,,1,1,1,1,False,AssertionError,"======================================================================
FAIL: test_case_4 (builtins.TestCases.test_case_4)
----------------------------------------------------------------------
Traceback (most recent call last):
  File ""<string>"", line 28, in test_case_4
  File ""C:\Users\jbeem\AppData\Roaming\Python\Python314\site-packages\pandas\_testing\asserters.py"", line 1242, in assert_frame_equal
    raise_assert_detail(
    ~~~~~~~~~~~~~~~~~~~^
        obj, f""{obj} shape mismatch"", f""{repr(left.shape)}"", f""{repr(right.shape)}""
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    )
    ^
  File ""C:\Users\jbeem\AppData\Roaming\Python\Python314\site-packages\pandas\_testing\asserters.py"", line 620, in raise_assert_detail
    raise AssertionError(msg)
AssertionError: DataFrame are different

DataFrame shape mismatch
[left]:  (0, 0)
[right]: (1, 3)

----------------------------------------------------------------------
Ran 5 tests in 0.016s

FAILED (failures=1)"
bigcodebench,monolithic,BigCodeBench/304,run-d04514bf,1774015922.713264,bigcodebench_monolithic,monolithic,0,,0,Monolithic,1882,17.864532,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
bigcodebench,monolithic,BigCodeBench/798,run-d04514bf,1774015941.6194,bigcodebench_monolithic,monolithic,0,,0,Monolithic,1595,18.875857,,,,,,,,,,,,,,,,,,,,1,1,1,1,False,AssertionError,"======================================================================
ERROR: test_no_backups_in_backup_directory (builtins.TestCases.test_no_backups_in_backup_directory)
----------------------------------------------------------------------
Traceback (most recent call last):
  File ""C:\Python314\Lib\unittest\mock.py"", line 1432, in patched
    return func(*newargs, **newkeywargs)
  File ""<string>"", line 27, in test_no_backups_in_backup_directory
  File ""<string>"", line 11, in task_func
  File ""C:\Python314\Lib\shutil.py"", line 852, in rmtree
    _rmtree_impl(path, dir_fd, onexc)
    ~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Python314\Lib\shutil.py"", line 675, in _rmtree_unsafe
    onexc(os.lstat, path, err)
    ~~~~~^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Python314\Lib\shutil.py"", line 673, in _rmtree_unsafe
    st = os.lstat(path)
FileNotFoundError: [WinError 3] The system cannot find the path specified: '/tmp/my_data'

----------------------------------------------------------------------
Ran 5 tests in 0.006s

FAILED (errors=1)"
bigcodebench,monolithic,BigCodeBench/328,run-d04514bf,1774015972.746022,bigcodebench_monolithic,monolithic,0,,0,Monolithic,2463,31.080835,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
bigcodebench,monolithic,BigCodeBench/510,run-d04514bf,1774015989.352976,bigcodebench_monolithic,monolithic,0,,0,Monolithic,1501,16.577086,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
bigcodebench,monolithic,BigCodeBench/89,run-d04514bf,1774016010.513302,bigcodebench_monolithic,monolithic,0,,0,Monolithic,2152,21.130369,,,,,,,,,,,,,,,,,,,,1,1,1,1,False,AssertionError,"======================================================================
FAIL: test_no_plotting (builtins.TestCases.test_no_plotting)
Test that the plotting function is called but does not display plots during testing.
----------------------------------------------------------------------
Traceback (most recent call last):
  File ""C:\Python314\Lib\unittest\mock.py"", line 1432, in patched
    return func(*newargs, **newkeywargs)
  File ""<string>"", line 29, in test_no_plotting
  File ""C:\Python314\Lib\unittest\mock.py"", line 954, in assert_called
    raise AssertionError(msg)
AssertionError: Expected 'show' to have been called.

----------------------------------------------------------------------
Ran 6 tests in 2.552s

FAILED (failures=1)"
