dataset,strategy,runs_path,boolean_path,predictions_path,predictions_executable_path,runs_file_exists,boolean_file_exists,predictions_file_exists,predictions_executable_file_exists,runs_rows_total,agent_call_rows,agent_call_dataset_mismatch_rows,unknown_event_rows,run_summary_rows,run_summary_unique_task_ids,run_summary_duplicate_rows,run_summary_missing_task_id_rows,run_summary_dataset_mismatch_rows,distinct_run_ids,run_id_list,boolean_rows_total,boolean_unique_task_ids,boolean_duplicate_rows,boolean_missing_task_id_rows,boolean_dataset_mismatch_rows,boolean_parse_error_rows,run_summary_tasks_without_boolean,boolean_tasks_without_run_summary,predictions_rows,predictions_executable_rows,expected_task_count,latest_snapshot_rows,latest_snapshot_unique_task_ids,latest_missing_vs_expected,boolean_missing_vs_expected,latest_coverage_vs_expected_pct,boolean_coverage_vs_expected_pct
bigcodebench,agentic,C:\VScode\pipeline\logs\bigcodebench\agentic\runs.csv,C:\VScode\pipeline\logs\bigcodebench\agentic\boolean_results.jsonl,C:\VScode\pipeline\logs\bigcodebench\agentic\predictions.jsonl,C:\VScode\pipeline\logs\bigcodebench\agentic\predictions_executable.jsonl,1,1,1,1,200,150,0,0,50,50,0,0,0,2,run-12bd7e9b;run-9ce586aa,50,50,0,0,0,0,0,0,50,50,200,50,50,150,150,25.0,25.0
bigcodebench,agentic_no_planner,C:\VScode\pipeline\logs\bigcodebench\agentic_no_planner\runs.csv,C:\VScode\pipeline\logs\bigcodebench\agentic_no_planner\boolean_results.jsonl,C:\VScode\pipeline\logs\bigcodebench\agentic_no_planner\predictions.jsonl,C:\VScode\pipeline\logs\bigcodebench\agentic_no_planner\predictions_executable.jsonl,1,1,1,1,159,106,0,0,53,53,0,0,0,2,run-5b3d0ccc;run-e5a5ea70,53,53,0,0,0,0,0,0,53,53,200,53,53,147,147,26.5,26.5
bigcodebench,agentic_plus_verifier,C:\VScode\pipeline\logs\bigcodebench\agentic_plus_verifier\runs.csv,C:\VScode\pipeline\logs\bigcodebench\agentic_plus_verifier\boolean_results.jsonl,C:\VScode\pipeline\logs\bigcodebench\agentic_plus_verifier\predictions.jsonl,C:\VScode\pipeline\logs\bigcodebench\agentic_plus_verifier\predictions_executable.jsonl,1,1,1,1,251,202,0,0,49,49,0,0,0,3,run-67fd4b71;run-6eaba5df;run-ee9b2df7,50,50,0,0,0,0,0,1,50,50,200,50,50,150,150,25.0,25.0
bigcodebench,monolithic,C:\VScode\pipeline\logs\bigcodebench\monolithic\runs.csv,C:\VScode\pipeline\logs\bigcodebench\monolithic\boolean_results.jsonl,C:\VScode\pipeline\logs\bigcodebench\monolithic\predictions.jsonl,C:\VScode\pipeline\logs\bigcodebench\monolithic\predictions_executable.jsonl,1,1,1,1,114,57,0,0,57,57,0,0,0,2,run-6ec4ad81;run-d04514bf,57,57,0,0,0,0,0,0,57,57,200,57,57,143,143,28.5,28.5
humaneval,agentic,C:\VScode\pipeline\logs\humaneval\agentic\runs.csv,C:\VScode\pipeline\logs\humaneval\agentic\boolean_results.jsonl,C:\VScode\pipeline\logs\humaneval\agentic\predictions.jsonl,C:\VScode\pipeline\logs\humaneval\agentic\predictions_executable.jsonl,1,1,1,1,40,30,0,0,10,10,0,0,0,1,run-621d5d7f,10,10,0,0,0,0,0,0,10,10,164,10,10,154,154,6.097561,6.097561
humaneval,agentic_no_planner,C:\VScode\pipeline\logs\humaneval\agentic_no_planner\runs.csv,C:\VScode\pipeline\logs\humaneval\agentic_no_planner\boolean_results.jsonl,C:\VScode\pipeline\logs\humaneval\agentic_no_planner\predictions.jsonl,C:\VScode\pipeline\logs\humaneval\agentic_no_planner\predictions_executable.jsonl,1,1,1,1,30,20,0,0,10,10,0,0,0,1,run-b40543ac,10,10,0,0,0,0,0,0,10,10,164,10,10,154,154,6.097561,6.097561
humaneval,agentic_plus_verifier,C:\VScode\pipeline\logs\humaneval\agentic_plus_verifier\runs.csv,C:\VScode\pipeline\logs\humaneval\agentic_plus_verifier\boolean_results.jsonl,C:\VScode\pipeline\logs\humaneval\agentic_plus_verifier\predictions.jsonl,C:\VScode\pipeline\logs\humaneval\agentic_plus_verifier\predictions_executable.jsonl,1,1,1,1,37,28,0,0,9,9,0,0,0,1,run-6076e3a9,9,9,0,0,0,0,0,0,9,9,164,9,9,155,155,5.487805,5.487805
humaneval,monolithic,C:\VScode\pipeline\logs\humaneval\monolithic\runs.csv,C:\VScode\pipeline\logs\humaneval\monolithic\boolean_results.jsonl,C:\VScode\pipeline\logs\humaneval\monolithic\predictions.jsonl,C:\VScode\pipeline\logs\humaneval\monolithic\predictions_executable.jsonl,1,1,1,1,32,16,0,0,16,16,0,0,0,1,run-1fc2215b,16,16,0,0,0,0,0,0,16,16,164,16,16,148,148,9.756098,9.756098
mbpp,agentic,C:\VScode\pipeline\logs\mbpp\agentic\runs.csv,C:\VScode\pipeline\logs\mbpp\agentic\boolean_results.jsonl,C:\VScode\pipeline\logs\mbpp\agentic\predictions.jsonl,C:\VScode\pipeline\logs\mbpp\agentic\predictions_executable.jsonl,1,1,1,1,200,150,0,0,50,50,0,0,0,2,run-4489c9b7;run-8efac691,10,10,0,0,0,0,40,0,50,10,200,50,50,150,190,25.0,5.0
mbpp,agentic_no_planner,C:\VScode\pipeline\logs\mbpp\agentic_no_planner\runs.csv,C:\VScode\pipeline\logs\mbpp\agentic_no_planner\boolean_results.jsonl,C:\VScode\pipeline\logs\mbpp\agentic_no_planner\predictions.jsonl,C:\VScode\pipeline\logs\mbpp\agentic_no_planner\predictions_executable.jsonl,1,1,1,1,150,100,0,0,50,50,0,0,0,2,run-3f893dc6;run-eb31cc7e,50,50,0,0,0,0,0,0,50,50,200,50,50,150,150,25.0,25.0
