dataset,strategy,task_id,expected_task_count,artifact_source,artifact_found,model,passed,error_type,canonical_parse_error,artifact_parse_error,canonical_char_count,artifact_char_count,canonical_line_count,artifact_line_count,canonical_nonempty_line_count,artifact_nonempty_line_count,canonical_parse_ok,artifact_parse_ok,canonical_ast_node_count,artifact_ast_node_count,canonical_function_count,artifact_function_count,canonical_branch_count,artifact_branch_count,canonical_loop_count,artifact_loop_count,canonical_call_count,artifact_call_count,canonical_comprehension_count,artifact_comprehension_count,canonical_return_count,artifact_return_count,canonical_max_control_nesting_depth,artifact_max_control_nesting_depth,canonical_cyclomatic_proxy,artifact_cyclomatic_proxy,lexical_cosine_similarity,token_cosine_similarity,line_count_delta,nonempty_line_count_delta,ast_node_count_delta,branch_count_delta,loop_count_delta,call_count_delta,max_control_nesting_depth_delta,cyclomatic_proxy_delta,line_count_ratio,ast_node_count_ratio,cyclomatic_proxy_ratio
humaneval,agentic,HumanEval/0,164,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,597,586,17,17,16,16,1,1,73,81,1,1,2,2,2,1,3,5,0,0,2,3,4,2,5,4,0.8992615420846737,0.7801352018480532,0,0,8,0,-1,2,-2,-1,1.0,1.1095890410958904,0.8
humaneval,agentic,HumanEval/1,164,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,920,938,24,25,23,24,1,1,100,109,1,1,3,3,1,1,5,5,0,0,1,1,4,4,5,5,0.7228431407287733,0.7677729395561596,1,1,9,0,0,0,0,0,1.0416666666666667,1.09,1.0
humaneval,agentic,HumanEval/10,164,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,788,799,22,24,21,23,1,1,79,92,2,2,1,2,1,1,1,3,0,0,3,4,1,2,3,4,0.9522368694596872,0.9325732758001709,2,2,13,1,0,2,1,1,1.0909090909090908,1.1645569620253164,1.3333333333333333
humaneval,agentic,HumanEval/100,164,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,514,598,15,20,14,19,1,1,25,40,1,1,0,0,1,1,1,2,1,0,1,1,1,1,2,2,0.9637629123964365,0.7333160399163482,5,5,15,0,0,1,0,0,1.3333333333333333,1.6,1.0
humaneval,agentic,HumanEval/101,164,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,621,536,19,14,18,13,1,1,60,43,1,1,2,1,1,1,4,2,0,1,2,2,2,1,4,3,0.786732081728623,0.6997190713160569,-5,-5,-17,-1,0,-2,-1,-1,0.7368421052631579,0.7166666666666667,0.75
humaneval,agentic,HumanEval/102,164,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,432,436,16,16,15,15,1,1,47,50,1,1,3,3,0,0,0,0,0,0,4,4,1,1,4,4,0.9970857913523152,0.9850247682178391,0,0,3,0,0,0,0,0,1.0,1.0638297872340425,1.0
humaneval,agentic,HumanEval/103,164,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,588,576,17,17,17,17,1,1,61,64,1,1,1,1,1,0,3,4,0,0,2,2,1,1,3,2,0.9344636734307794,0.8701807952199049,0,0,3,0,-1,1,0,-1,1.0,1.0491803278688525,0.6666666666666666
humaneval,agentic,HumanEval/104,164,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,510,641,17,22,15,19,1,1,54,60,1,2,1,1,2,2,5,4,1,1,1,3,3,2,4,4,0.750885248531748,0.7570394744961129,5,4,6,0,0,-1,-1,0,1.2941176470588236,1.1111111111111112,1.0
humaneval,agentic,HumanEval/105,164,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,1106,1116,31,28,28,25,1,1,66,83,1,1,1,0,1,2,2,1,0,2,1,1,2,1,3,3,0.9672679975303087,0.8745045117677938,-3,-3,17,-1,1,-1,-1,0,0.9032258064516129,1.2575757575757576,1.0
humaneval,agentic,HumanEval/106,164,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,697,742,22,22,22,22,1,1,95,97,1,1,1,2,3,2,3,4,0,0,1,2,3,3,5,5,0.9241497840259003,0.7879133085411362,0,0,2,1,-1,1,0,0,1.0,1.0210526315789474,1.0
humaneval,agentic,HumanEval/107,164,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,1052,1064,34,37,28,31,1,1,97,84,2,2,2,2,1,1,5,3,0,0,2,2,3,3,6,4,0.9340993991225661,0.8704924060931148,3,3,-13,0,0,-2,0,-2,1.088235294117647,0.865979381443299,0.6666666666666666
humaneval,agentic,HumanEval/108,164,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,647,749,19,22,18,22,1,1,105,106,3,1,1,3,2,3,7,8,2,2,2,1,1,3,4,7,0.8448617631970962,0.7396500965571831,3,4,1,2,1,1,2,3,1.1578947368421053,1.0095238095238095,1.75
humaneval,agentic,HumanEval/109,164,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,1574,1638,38,43,32,37,1,1,98,116,1,1,2,5,1,1,6,4,0,0,3,5,2,2,4,7,0.9584910582744866,0.8397531212260755,5,5,18,3,0,-2,0,3,1.131578947368421,1.183673469387755,1.75
humaneval,agentic,HumanEval/11,164,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,410,429,15,15,13,14,1,1,57,67,2,1,1,1,1,1,3,5,1,0,3,1,1,2,3,3,0.824624057125392,0.7922920868348233,0,1,10,0,0,2,1,0,1.0,1.1754385964912282,1.0
humaneval,agentic,HumanEval/110,164,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,880,969,24,21,24,21,1,1,64,77,1,1,3,1,2,2,0,3,0,2,2,2,2,1,6,4,0.9389910751490024,0.589644781155413,-3,-3,13,-2,0,3,-1,-2,0.875,1.203125,0.6666666666666666
humaneval,agentic,HumanEval/111,164,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,764,848,24,24,22,22,1,1,92,95,1,1,3,2,2,2,4,5,0,1,1,3,3,1,7,5,0.7532488477147463,0.5980679585895032,0,0,3,-1,0,1,-2,-2,1.0,1.0326086956521738,0.7142857142857143
