dataset,strategy,task_id,expected_task_count,artifact_source,artifact_found,model,passed,error_type,canonical_parse_error,artifact_parse_error,canonical_char_count,artifact_char_count,canonical_line_count,artifact_line_count,canonical_nonempty_line_count,artifact_nonempty_line_count,canonical_parse_ok,artifact_parse_ok,canonical_ast_node_count,artifact_ast_node_count,canonical_function_count,artifact_function_count,canonical_branch_count,artifact_branch_count,canonical_loop_count,artifact_loop_count,canonical_call_count,artifact_call_count,canonical_comprehension_count,artifact_comprehension_count,canonical_return_count,artifact_return_count,canonical_max_control_nesting_depth,artifact_max_control_nesting_depth,canonical_cyclomatic_proxy,artifact_cyclomatic_proxy,lexical_cosine_similarity,token_cosine_similarity,line_count_delta,nonempty_line_count_delta,ast_node_count_delta,branch_count_delta,loop_count_delta,call_count_delta,max_control_nesting_depth_delta,cyclomatic_proxy_delta,line_count_ratio,ast_node_count_ratio,cyclomatic_proxy_ratio
humaneval,agentic_plus_verifier,HumanEval/0,164,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,597,605,17,18,16,17,1,1,73,88,1,1,2,2,2,2,3,6,0,0,2,3,4,3,5,5,0.9244585632324628,0.8367015876159382,1,1,15,0,0,3,-1,0,1.0588235294117647,1.2054794520547945,1.0
humaneval,agentic_plus_verifier,HumanEval/1,164,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,920,940,24,26,23,25,1,1,100,106,1,1,3,4,1,1,5,4,0,0,1,1,4,4,5,6,0.7132882165740386,0.7495024141577515,2,2,6,1,0,-1,0,1,1.0833333333333333,1.06,1.2
humaneval,agentic_plus_verifier,HumanEval/10,164,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,788,799,22,24,21,23,1,1,79,92,2,2,1,2,1,1,1,3,0,0,3,4,1,2,3,4,0.9522368694596872,0.9325732758001709,2,2,13,1,0,2,1,1,1.0909090909090908,1.1645569620253164,1.3333333333333333
humaneval,agentic_plus_verifier,HumanEval/100,164,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,514,598,15,20,14,19,1,1,25,40,1,1,0,0,1,1,1,2,1,0,1,1,1,1,2,2,0.9637629123964365,0.7333160399163482,5,5,15,0,0,1,0,0,1.3333333333333333,1.6,1.0
humaneval,agentic_plus_verifier,HumanEval/101,164,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,621,518,19,14,18,13,1,1,60,43,1,1,2,1,1,1,4,2,0,1,2,2,2,1,4,3,0.7974364116151046,0.6996652922008268,-5,-5,-17,-1,0,-2,-1,-1,0.7368421052631579,0.7166666666666667,0.75
humaneval,agentic_plus_verifier,HumanEval/102,164,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,432,452,16,17,15,16,1,1,47,50,1,1,3,3,0,0,0,0,0,0,4,4,1,2,4,4,0.98487766507115,0.9709450535991591,1,1,3,0,0,0,1,0,1.0625,1.0638297872340425,1.0
humaneval,agentic_plus_verifier,HumanEval/103,164,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,588,576,17,17,17,17,1,1,61,64,1,1,1,1,1,0,3,4,0,0,2,2,1,1,3,2,0.9344636734307794,0.8701807952199049,0,0,3,0,-1,1,0,-1,1.0,1.0491803278688525,0.6666666666666666
humaneval,agentic_plus_verifier,HumanEval/104,164,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,510,631,17,21,15,18,1,1,54,57,1,2,1,1,2,2,5,4,1,1,1,3,3,2,4,4,0.7750658792607136,0.7702063654970691,4,3,3,0,0,-1,-1,0,1.2352941176470589,1.0555555555555556,1.0
humaneval,agentic_plus_verifier,HumanEval/105,164,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,1106,1116,31,28,28,25,1,1,66,83,1,1,1,0,1,2,2,1,0,2,1,1,2,1,3,3,0.9672679975303087,0.8745045117677938,-3,-3,17,-1,1,-1,-1,0,0.9032258064516129,1.2575757575757576,1.0
humaneval,agentic_plus_verifier,HumanEval/106,164,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,697,742,22,22,22,22,1,1,95,97,1,1,1,2,3,2,3,4,0,0,1,2,3,3,5,5,0.9241497840259003,0.7879133085411362,0,0,2,1,-1,1,0,0,1.0,1.0210526315789474,1.0
