dataset,strategy,task_id,expected_task_count,artifact_source,artifact_found,model,passed,error_type,canonical_parse_error,artifact_parse_error,canonical_char_count,artifact_char_count,canonical_line_count,artifact_line_count,canonical_nonempty_line_count,artifact_nonempty_line_count,canonical_parse_ok,artifact_parse_ok,canonical_ast_node_count,artifact_ast_node_count,canonical_function_count,artifact_function_count,canonical_branch_count,artifact_branch_count,canonical_loop_count,artifact_loop_count,canonical_call_count,artifact_call_count,canonical_comprehension_count,artifact_comprehension_count,canonical_return_count,artifact_return_count,canonical_max_control_nesting_depth,artifact_max_control_nesting_depth,canonical_cyclomatic_proxy,artifact_cyclomatic_proxy,lexical_cosine_similarity,token_cosine_similarity,line_count_delta,nonempty_line_count_delta,ast_node_count_delta,branch_count_delta,loop_count_delta,call_count_delta,max_control_nesting_depth_delta,cyclomatic_proxy_delta,line_count_ratio,ast_node_count_ratio,cyclomatic_proxy_ratio
humaneval,monolithic,HumanEval/0,164,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,597,277,17,8,16,7,1,1,73,70,1,1,2,1,2,2,3,5,0,0,2,2,4,3,5,4,0.5469123848598301,0.815563587074956,-9,-9,-3,-1,0,2,-1,-1,0.47058823529411764,0.958904109589041,0.8
humaneval,monolithic,HumanEval/1,164,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,920,519,24,19,23,18,1,1,100,104,1,1,3,4,1,1,5,4,0,0,1,1,4,4,5,6,0.3703447587677322,0.7474193064277161,-5,-5,4,1,0,-1,0,1,0.7916666666666666,1.04,1.2
humaneval,monolithic,HumanEval/10,164,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,788,338,22,12,21,11,1,1,79,88,2,2,1,2,1,1,1,3,0,0,3,4,1,2,3,4,0.780428312533467,0.9263639051920193,-10,-10,9,1,0,2,1,1,0.5454545454545454,1.1139240506329113,1.3333333333333333
humaneval,monolithic,HumanEval/100,164,,0,,,,,empty,514,0,15,0,14,0,1,0,25,,1,,0,,1,,1,,1,,1,,1,,2,,,,-15,-14,,,,,,,0.0,,
humaneval,monolithic,HumanEval/101,164,,0,,,,,empty,621,0,19,0,18,0,1,0,60,,1,,2,,1,,4,,0,,2,,2,,4,,,,-19,-18,,,,,,,0.0,,
humaneval,monolithic,HumanEval/102,164,,0,,,,,empty,432,0,16,0,15,0,1,0,47,,1,,3,,0,,0,,0,,4,,1,,4,,,,-16,-15,,,,,,,0.0,,
humaneval,monolithic,HumanEval/103,164,,0,,,,,empty,588,0,17,0,17,0,1,0,61,,1,,1,,1,,3,,0,,2,,1,,3,,,,-17,-17,,,,,,,0.0,,
humaneval,monolithic,HumanEval/104,164,,0,,,,,empty,510,0,17,0,15,0,1,0,54,,1,,1,,2,,5,,1,,1,,3,,4,,,,-17,-15,,,,,,,0.0,,
humaneval,monolithic,HumanEval/105,164,,0,,,,,empty,1106,0,31,0,28,0,1,0,66,,1,,1,,1,,2,,0,,1,,2,,3,,,,-31,-28,,,,,,,0.0,,
humaneval,monolithic,HumanEval/106,164,,0,,,,,empty,697,0,22,0,22,0,1,0,95,,1,,1,,3,,3,,0,,1,,3,,5,,,,-22,-22,,,,,,,0.0,,
humaneval,monolithic,HumanEval/107,164,,0,,,,,empty,1052,0,34,0,28,0,1,0,97,,2,,2,,1,,5,,0,,2,,3,,6,,,,-34,-28,,,,,,,0.0,,
humaneval,monolithic,HumanEval/108,164,,0,,,,,empty,647,0,19,0,18,0,1,0,105,,3,,1,,2,,7,,2,,2,,1,,4,,,,-19,-18,,,,,,,0.0,,
humaneval,monolithic,HumanEval/109,164,,0,,,,,empty,1574,0,38,0,32,0,1,0,98,,1,,2,,1,,6,,0,,3,,2,,4,,,,-38,-32,,,,,,,0.0,,
humaneval,monolithic,HumanEval/11,164,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,410,210,15,8,13,8,1,1,57,63,2,1,1,1,1,1,3,5,1,0,3,1,1,2,3,3,0.4994453686590201,0.7772372468631622,-7,-5,6,0,0,2,1,0,0.5333333333333333,1.105263157894737,1.0
humaneval,monolithic,HumanEval/110,164,,0,,,,,empty,880,0,24,0,24,0,1,0,64,,1,,3,,2,,0,,0,,2,,2,,6,,,,-24,-24,,,,,,,0.0,,
humaneval,monolithic,HumanEval/111,164,,0,,,,,empty,764,0,24,0,22,0,1,0,92,,1,,3,,2,,4,,0,,1,,3,,7,,,,-24,-22,,,,,,,0.0,,
humaneval,monolithic,HumanEval/112,164,,0,,,,,empty,681,0,13,0,13,0,1,0,45,,1,,0,,1,,1,,1,,1,,1,,2,,,,-13,-13,,,,,,,0.0,,
humaneval,monolithic,HumanEval/113,164,,0,,,,,empty,815,0,17,0,16,0,1,0,89,,1,,0,,2,,7,,1,,1,,2,,3,,,,-17,-16,,,,,,,0.0,,
