dataset,strategy,task_id,run_id,ts_unix,pipeline_config,trigger_policy,verifier_invoked,verifier_decision,repair_attempted,origin_stage,run_total_tokens,end_to_end_latency_s,parse_error_type,parse_error_text,architect,developer,qa,verifier,architect_total_tokens,developer_total_tokens,qa_total_tokens,verifier_total_tokens,architect_latency_s,developer_latency_s,qa_latency_s,verifier_latency_s,architect_error,developer_repair,developer_harm,verifier_repair,verifier_harm,run_index_for_task,run_count_for_task,is_latest_for_task,has_boolean_result,passed,error_type,error
humaneval,monolithic,HumanEval/0,run-c5088a77,1771684341.207847,humaneval_monolithic,monolithic,0,,0,Monolithic,1406,13.704764,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/1,run-c5088a77,1771684353.505558,humaneval_monolithic,monolithic,0,,0,Monolithic,1463,12.283261,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/2,run-c5088a77,1771684359.957824,humaneval_monolithic,monolithic,0,,0,Monolithic,843,6.434499,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/3,run-c5088a77,1771684370.187495,humaneval_monolithic,monolithic,0,,0,Monolithic,1189,10.210342,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/4,run-c5088a77,1771684379.947499,humaneval_monolithic,monolithic,0,,0,Monolithic,1176,9.73687,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/5,run-c5088a77,1771684389.457913,humaneval_monolithic,monolithic,0,,0,Monolithic,1213,9.489339,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/6,run-c5088a77,1771684404.07175,humaneval_monolithic,monolithic,0,,0,Monolithic,1578,14.589831,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/7,run-c5088a77,1771684414.343421,humaneval_monolithic,monolithic,0,,0,Monolithic,1094,10.2573,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/8,run-c5088a77,1771684423.706321,humaneval_monolithic,monolithic,0,,0,Monolithic,1199,9.349648,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/9,run-c5088a77,1771684434.084589,humaneval_monolithic,monolithic,0,,0,Monolithic,1264,10.352049,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/10,run-c5088a77,1771684444.325151,humaneval_monolithic,monolithic,0,,0,Monolithic,1226,10.217671,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/11,run-c5088a77,1771684452.926028,humaneval_monolithic,monolithic,0,,0,Monolithic,1089,8.57937,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/12,run-c5088a77,1771684462.596447,humaneval_monolithic,monolithic,0,,0,Monolithic,1138,9.648054,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/13,run-c5088a77,1771684471.982819,humaneval_monolithic,monolithic,0,,0,Monolithic,1172,9.365879,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/14,run-c5088a77,1771684479.465339,humaneval_monolithic,monolithic,0,,0,Monolithic,970,7.463937,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/15,run-c5088a77,1771684485.798759,humaneval_monolithic,monolithic,0,,0,Monolithic,839,6.310589,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/16,run-c5088a77,1771684493.191172,humaneval_monolithic,monolithic,0,,0,Monolithic,944,7.368914,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/17,run-c5088a77,1771684503.821846,humaneval_monolithic,monolithic,0,,0,Monolithic,1311,10.609647,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/18,run-c5088a77,1771684513.478876,humaneval_monolithic,monolithic,0,,0,Monolithic,1204,9.629598,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/19,run-c5088a77,1771684523.585434,humaneval_monolithic,monolithic,0,,0,Monolithic,1255,10.084053,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/20,run-c5088a77,1771684536.386494,humaneval_monolithic,monolithic,0,,0,Monolithic,1543,12.765734,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/21,run-c5088a77,1771684548.776087,humaneval_monolithic,monolithic,0,,0,Monolithic,1464,12.367898,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/22,run-c5088a77,1771684559.828701,humaneval_monolithic,monolithic,0,,0,Monolithic,1255,11.032693,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/23,run-c5088a77,1771684565.464523,humaneval_monolithic,monolithic,0,,0,Monolithic,699,5.621728,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/24,run-c5088a77,1771684576.639682,humaneval_monolithic,monolithic,0,,0,Monolithic,1082,11.152008,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/25,run-c5088a77,1771684589.428876,humaneval_monolithic,monolithic,0,,0,Monolithic,1524,12.7646,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/26,run-c5088a77,1771684599.562863,humaneval_monolithic,monolithic,0,,0,Monolithic,1252,10.11346,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/27,run-c5088a77,1771684607.765503,humaneval_monolithic,monolithic,0,,0,Monolithic,970,8.184728,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/28,run-c5088a77,1771684613.821752,humaneval_monolithic,monolithic,0,,0,Monolithic,790,6.035631,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/29,run-c5088a77,1771684623.321672,humaneval_monolithic,monolithic,0,,0,Monolithic,1067,9.481581,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/30,run-c5088a77,1771684632.539615,humaneval_monolithic,monolithic,0,,0,Monolithic,1197,9.19456,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/31,run-c5088a77,1771684645.336381,humaneval_monolithic,monolithic,0,,0,Monolithic,1392,12.775069,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/32,run-c5088a77,1771684659.77511,humaneval_monolithic,monolithic,0,,0,Monolithic,1643,14.42224,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/33,run-c5088a77,1771684673.499855,humaneval_monolithic,monolithic,0,,0,Monolithic,1547,13.700128,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/34,run-c5088a77,1771684682.713111,humaneval_monolithic,monolithic,0,,0,Monolithic,965,9.188418,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/35,run-c5088a77,1771684691.96179,humaneval_monolithic,monolithic,0,,0,Monolithic,1078,9.226265,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/36,run-c5088a77,1771684701.965616,humaneval_monolithic,monolithic,0,,0,Monolithic,1191,9.977901,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/37,run-c5088a77,1771684714.361576,humaneval_monolithic,monolithic,0,,0,Monolithic,1420,12.36984,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/38,run-c5088a77,1771684725.25094,humaneval_monolithic,monolithic,0,,0,Monolithic,1262,10.865017,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/39,run-c5088a77,1771684740.571836,humaneval_monolithic,monolithic,0,,0,Monolithic,1610,15.297327,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/40,run-c5088a77,1771684752.039728,humaneval_monolithic,monolithic,0,,0,Monolithic,1324,11.447564,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/41,run-c5088a77,1771684761.154567,humaneval_monolithic,monolithic,0,,0,Monolithic,1085,9.088746,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/42,run-c5088a77,1771684767.193834,humaneval_monolithic,monolithic,0,,0,Monolithic,885,6.02067,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/43,run-c5088a77,1771684777.558918,humaneval_monolithic,monolithic,0,,0,Monolithic,1357,10.32333,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/44,run-c5088a77,1771684786.555766,humaneval_monolithic,monolithic,0,,0,Monolithic,1187,8.969172,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/45,run-c5088a77,1771684794.330137,humaneval_monolithic,monolithic,0,,0,Monolithic,853,7.747481,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/46,run-c5088a77,1771684806.417228,humaneval_monolithic,monolithic,0,,0,Monolithic,1632,12.063383,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/47,run-c5088a77,1771684881.919644,humaneval_monolithic,monolithic,0,,0,Monolithic,5384,75.484393,,,,,,,,,,,,,,,,,,,,1,1,1,1,False,AssertionError,AssertionError:
humaneval,monolithic,HumanEval/48,run-c5088a77,1771684888.96789,humaneval_monolithic,monolithic,0,,0,Monolithic,938,7.024281,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/49,run-c5088a77,1771684897.039263,humaneval_monolithic,monolithic,0,,0,Monolithic,1007,8.051465,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/50,run-c5088a77,1771684909.836283,humaneval_monolithic,monolithic,0,,0,Monolithic,1339,12.78252,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/51,run-c5088a77,1771684920.080406,humaneval_monolithic,monolithic,0,,0,Monolithic,1275,10.229483,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/52,run-c5088a77,1771684928.581881,humaneval_monolithic,monolithic,0,,0,Monolithic,996,8.485158,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/53,run-c5088a77,1771684933.285562,humaneval_monolithic,monolithic,0,,0,Monolithic,718,4.688139,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/54,run-c5088a77,1771684944.857198,humaneval_monolithic,monolithic,0,,0,Monolithic,1574,11.556082,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/55,run-c5088a77,1771684954.329615,humaneval_monolithic,monolithic,0,,0,Monolithic,1169,9.455845,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/56,run-c5088a77,1771684964.445785,humaneval_monolithic,monolithic,0,,0,Monolithic,1140,10.094658,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/57,run-c5088a77,1771684974.94431,humaneval_monolithic,monolithic,0,,0,Monolithic,1201,10.481007,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/58,run-c5088a77,1771684983.976156,humaneval_monolithic,monolithic,0,,0,Monolithic,1150,9.018461,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/59,run-c5088a77,1771684994.461122,humaneval_monolithic,monolithic,0,,0,Monolithic,1167,10.467165,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/60,run-c5088a77,1771685001.626762,humaneval_monolithic,monolithic,0,,0,Monolithic,985,7.146989,SyntaxError,"invalid character '✓' (U+2713) (<unknown>, line 7)",,,,,,,,,,,,,,,,,,1,1,1,1,False,SyntaxError,"invalid character '✓' (U+2713) (<unknown>, line 20)"
humaneval,monolithic,HumanEval/61,run-c5088a77,1771685011.724385,humaneval_monolithic,monolithic,0,,0,Monolithic,1193,10.077276,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
