dataset,strategy,task_id,run_id,ts_unix,pipeline_config,trigger_policy,verifier_invoked,verifier_decision,repair_attempted,origin_stage,run_total_tokens,end_to_end_latency_s,parse_error_type,parse_error_text,planner,executor,critic,verifier,planner_total_tokens,executor_total_tokens,critic_total_tokens,verifier_total_tokens,planner_latency_s,executor_latency_s,critic_latency_s,verifier_latency_s,planner_error,executor_repair,executor_harm,verifier_repair,verifier_harm,run_index_for_task,run_count_for_task,is_latest_for_task,has_boolean_result,passed,error_type,error
humaneval,monolithic,HumanEval/0,run-1fc2215b,1773679475.142324,humaneval_monolithic,monolithic,0,,0,Monolithic,1527,12.034364,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/1,run-1fc2215b,1773679486.407177,humaneval_monolithic,monolithic,0,,0,Monolithic,1413,11.246135,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/2,run-1fc2215b,1773679493.000794,humaneval_monolithic,monolithic,0,,0,Monolithic,912,6.583174,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/3,run-1fc2215b,1773679502.505949,humaneval_monolithic,monolithic,0,,0,Monolithic,1154,9.490523,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/4,run-1fc2215b,1773679512.680622,humaneval_monolithic,monolithic,0,,0,Monolithic,1320,10.161922,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/5,run-1fc2215b,1773679522.571668,humaneval_monolithic,monolithic,0,,0,Monolithic,1275,9.879156,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/6,run-1fc2215b,1773679533.995859,humaneval_monolithic,monolithic,0,,0,Monolithic,1469,11.412746,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/7,run-1fc2215b,1773679544.530206,humaneval_monolithic,monolithic,0,,0,Monolithic,1269,10.521163,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/8,run-1fc2215b,1773679547.529565,humaneval_monolithic,monolithic,0,,0,Monolithic,608,2.983081,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/9,run-1fc2215b,1773679569.982959,humaneval_monolithic,monolithic,0,,0,Monolithic,1131,22.440706,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/10,run-1fc2215b,1773679580.151205,humaneval_monolithic,monolithic,0,,0,Monolithic,1427,10.157246,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/11,run-1fc2215b,1773679582.720103,humaneval_monolithic,monolithic,0,,0,Monolithic,564,2.555315,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/12,run-1fc2215b,1773679591.982316,humaneval_monolithic,monolithic,0,,0,Monolithic,1151,9.251695,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/13,run-1fc2215b,1773679600.05333,humaneval_monolithic,monolithic,0,,0,Monolithic,994,8.05512,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/14,run-1fc2215b,1773679606.787622,humaneval_monolithic,monolithic,0,,0,Monolithic,896,6.717534,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
humaneval,monolithic,HumanEval/15,run-1fc2215b,1773679613.946375,humaneval_monolithic,monolithic,0,,0,Monolithic,905,7.143831,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
