dataset,strategy,task_id,expected_task_count,artifact_source,artifact_found,model,passed,error_type,canonical_parse_error,artifact_parse_error,canonical_char_count,artifact_char_count,canonical_line_count,artifact_line_count,canonical_nonempty_line_count,artifact_nonempty_line_count,canonical_parse_ok,artifact_parse_ok,canonical_ast_node_count,artifact_ast_node_count,canonical_function_count,artifact_function_count,canonical_branch_count,artifact_branch_count,canonical_loop_count,artifact_loop_count,canonical_call_count,artifact_call_count,canonical_comprehension_count,artifact_comprehension_count,canonical_return_count,artifact_return_count,canonical_max_control_nesting_depth,artifact_max_control_nesting_depth,canonical_cyclomatic_proxy,artifact_cyclomatic_proxy,lexical_cosine_similarity,token_cosine_similarity,line_count_delta,nonempty_line_count_delta,ast_node_count_delta,branch_count_delta,loop_count_delta,call_count_delta,max_control_nesting_depth_delta,cyclomatic_proxy_delta,line_count_ratio,ast_node_count_ratio,cyclomatic_proxy_ratio
mbpp,agentic,MBPP/100,200,,0,,,,,empty,166,0,7,0,6,0,1,0,51,,1,,1,,1,,4,,0,,1,,2,,3,,,,-7,-6,,,,,,,0.0,,
mbpp,agentic,MBPP/102,200,,0,,,,,empty,108,0,3,0,3,0,1,0,29,,1,,0,,1,,3,,1,,1,,1,,3,,,,-3,-3,,,,,,,0.0,,
mbpp,agentic,MBPP/103,200,runs_csv_final_executable_code,1,,,,,,180,960,6,34,6,30,1,1,70,217,1,1,2,6,0,3,2,3,0,1,3,4,1,4,4,12,0.7261869457006926,0.6093391300357052,28,24,147,4,3,1,3,8,5.666666666666667,3.1,3.0
mbpp,agentic,MBPP/106,200,,0,,,,,empty,94,0,3,0,3,0,1,0,23,,1,,0,,0,,2,,0,,1,,0,,1,,,,-3,-3,,,,,,,0.0,,
mbpp,agentic,MBPP/109,200,,0,,,,,empty,136,0,6,0,6,0,1,0,39,,1,,1,,1,,1,,0,,1,,2,,3,,,,-6,-6,,,,,,,0.0,,
mbpp,agentic,MBPP/11,200,runs_csv_final_executable_code,1,,,,,,255,310,10,9,10,9,1,1,109,102,1,1,2,2,2,0,4,2,0,0,1,3,2,1,5,3,0.4473685283282678,0.785406984547505,-1,-1,-7,0,-2,-2,-1,-2,0.9,0.9357798165137615,0.6
mbpp,agentic,MBPP/113,200,,0,,,,,empty,318,0,10,0,10,0,1,0,90,,1,,3,,2,,8,,2,,4,,4,,7,,,,-10,-10,,,,,,,0.0,,
mbpp,agentic,MBPP/115,200,,0,,,,,empty,86,0,3,0,3,0,1,0,23,,1,,0,,1,,1,,1,,1,,1,,2,,,,-3,-3,,,,,,,0.0,,
mbpp,agentic,MBPP/116,200,,0,,,,,empty,83,0,3,0,3,0,1,0,24,,1,,0,,0,,3,,0,,1,,0,,1,,,,-3,-3,,,,,,,0.0,,
mbpp,agentic,MBPP/117,200,runs_csv_final_executable_code,1,,,,,,285,419,11,12,11,12,1,1,70,67,1,1,1,1,2,2,5,4,0,0,1,1,3,3,4,4,0.32372123702729416,0.7505553499465136,1,1,-3,0,0,-1,0,0,1.0909090909090908,0.9571428571428572,1.0
mbpp,agentic,MBPP/123,200,,0,,,,,empty,587,0,15,0,15,0,1,0,141,,1,,4,,3,,10,,2,,3,,2,,9,,,,-15,-15,,,,,,,0.0,,
mbpp,agentic,MBPP/127,200,,0,,,,,empty,193,0,9,0,9,0,1,0,55,,1,,3,,0,,2,,0,,4,,3,,4,,,,-9,-9,,,,,,,0.0,,
mbpp,agentic,MBPP/129,200,,0,,,,,empty,526,0,17,0,17,0,1,0,160,,1,,1,,5,,12,,2,,2,,2,,7,,,,-17,-17,,,,,,,0.0,,
mbpp,agentic,MBPP/131,200,runs_csv_final_executable_code,1,,,,,,347,398,13,13,13,13,1,1,71,102,1,1,2,1,2,2,0,8,0,0,1,1,2,2,5,4,0.5380232290623626,0.4954536632530374,0,0,31,-1,0,8,0,-1,1.0,1.4366197183098592,0.8
mbpp,agentic,MBPP/139,200,,0,,,,,empty,80,0,3,0,3,0,1,0,18,,1,,0,,0,,0,,0,,1,,0,,1,,,,-3,-3,,,,,,,0.0,,
mbpp,agentic,MBPP/14,200,,0,,,,,empty,50,0,2,0,2,0,1,0,20,,1,,0,,0,,0,,0,,1,,0,,1,,,,-2,-2,,,,,,,0.0,,
mbpp,agentic,MBPP/140,200,,0,,,,,empty,223,0,9,0,9,0,1,0,53,,1,,1,,2,,3,,0,,1,,3,,4,,,,-9,-9,,,,,,,0.0,,
mbpp,agentic,MBPP/141,200,,0,,,,,empty,269,0,8,0,8,0,1,0,105,,1,,0,,1,,5,,0,,1,,1,,2,,,,-8,-8,,,,,,,0.0,,
mbpp,agentic,MBPP/142,200,,0,,,,,empty,130,0,3,0,3,0,1,0,43,,1,,0,,1,,2,,1,,1,,1,,2,,,,-3,-3,,,,,,,0.0,,
mbpp,agentic,MBPP/145,200,,0,,,,,empty,206,0,8,0,8,0,1,0,72,,1,,0,,1,,4,,0,,1,,1,,2,,,,-8,-8,,,,,,,0.0,,
mbpp,agentic,MBPP/16,200,,0,,,,,empty,165,0,8,0,7,0,1,0,24,,1,,1,,0,,1,,0,,2,,1,,2,,,,-8,-7,,,,,,,0.0,,
mbpp,agentic,MBPP/162,200,,0,,,,,empty,96,0,5,0,5,0,1,0,25,,1,,1,,0,,1,,0,,2,,1,,2,,,,-5,-5,,,,,,,0.0,,
mbpp,agentic,MBPP/165,200,,0,,,,,empty,206,0,6,0,6,0,1,0,68,,1,,1,,1,,6,,0,,1,,2,,4,,,,-6,-6,,,,,,,0.0,,
mbpp,agentic,MBPP/166,200,,0,,,,,empty,189,0,7,0,7,0,1,0,65,,1,,1,,2,,4,,0,,1,,3,,4,,,,-7,-7,,,,,,,0.0,,
mbpp,agentic,MBPP/167,200,runs_csv_final_executable_code,1,,,,,,159,199,8,11,8,11,1,1,49,55,1,1,1,3,1,1,0,0,0,0,2,4,1,1,4,5,0.7337993857053428,0.8189265878590832,3,3,6,2,0,0,0,1,1.375,1.1224489795918366,1.25
mbpp,agentic,MBPP/168,200,,0,,,,,empty,109,0,6,0,6,0,1,0,29,,1,,1,,1,,0,,0,,1,,2,,3,,,,-6,-6,,,,,,,0.0,,
mbpp,agentic,MBPP/170,200,,0,,,,,empty,134,0,5,0,5,0,1,0,37,,1,,0,,1,,1,,0,,1,,1,,2,,,,-5,-5,,,,,,,0.0,,
