dataset,strategy,task_id,run_id,critic_verdict_first_pass,verifier_invoked,verifier_decision,repair_attempted,final_passed,pre_verifier_exec_invoked,pre_verifier_exec_passed,verifier_pre_repair_exec_passed,verifier_post_repair_exec_passed,critic_true_positive,critic_true_negative,blame_executor,blame_critic_false_fail,blame_critic_false_pass,verifier_strict_eligible,verifier_help,verifier_harm,executor_blame_from_critic,critic_blame_from_verifier,blame_basis,verifier_blame_basis
mbpp,agentic,MBPP/103,run-4489c9b7,FAIL,0,,0,,False,,,,0,0,0,0,0,0,0,0,1,,checkpoint_missing,not_applicable
mbpp,agentic,MBPP/11,run-4489c9b7,PASS,0,,0,,False,,,,0,0,0,0,0,0,0,0,0,,checkpoint_missing,not_applicable
mbpp,agentic,MBPP/117,run-4489c9b7,FAIL,0,,0,,False,,,,0,0,0,0,0,0,0,0,1,,checkpoint_missing,not_applicable
mbpp,agentic,MBPP/131,run-4489c9b7,FAIL,0,,0,,False,,,,0,0,0,0,0,0,0,0,1,,checkpoint_missing,not_applicable
mbpp,agentic,MBPP/167,run-4489c9b7,PASS,0,,0,,False,,,,0,0,0,0,0,0,0,0,0,,checkpoint_missing,not_applicable
mbpp,agentic,MBPP/172,run-4489c9b7,PASS,0,,0,,False,,,,0,0,0,0,0,0,0,0,0,,checkpoint_missing,not_applicable
mbpp,agentic,MBPP/251,run-4489c9b7,FAIL,0,,0,,False,,,,0,0,0,0,0,0,0,0,1,,checkpoint_missing,not_applicable
mbpp,agentic,MBPP/260,run-4489c9b7,FAIL,0,,0,,False,,,,0,0,0,0,0,0,0,0,1,,checkpoint_missing,not_applicable
mbpp,agentic,MBPP/267,run-8efac691,FAIL,0,,0,True,True,True,,,0,0,0,1,0,0,0,0,1,,checkpoint_exec_only,not_applicable
mbpp,agentic,MBPP/277,run-4489c9b7,PASS,0,,0,,False,,,,0,0,0,0,0,0,0,0,0,,checkpoint_missing,not_applicable
mbpp,agentic,MBPP/280,run-4489c9b7,PASS,0,,0,,False,,,,0,0,0,0,0,0,0,0,0,,checkpoint_missing,not_applicable
mbpp,agentic,MBPP/281,run-4489c9b7,PASS,0,,0,,False,,,,0,0,0,0,0,0,0,0,0,,checkpoint_missing,not_applicable
