dataset,strategy,task_id,run_id,ts_unix,pipeline_config,trigger_policy,verifier_invoked,verifier_decision,repair_attempted,origin_stage,run_total_tokens,end_to_end_latency_s,parse_error_type,parse_error_text,architect,developer,qa,verifier,architect_total_tokens,developer_total_tokens,qa_total_tokens,verifier_total_tokens,architect_latency_s,developer_latency_s,qa_latency_s,verifier_latency_s,architect_error,developer_repair,developer_harm,verifier_repair,verifier_harm,run_index_for_task,run_count_for_task,is_latest_for_task,has_boolean_result,passed,error_type,error
mbpp,agentic,MBPP/594,run-99401b7c,1771700034.935518,mbpp_no_security_no_verifier,always,0,,0,,3196,24.394009,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1711,895,590,,15.013438,3.387918,5.885429,,0,0,0,0,0,2,2,1,1,True,,
mbpp,agentic,MBPP/74,run-99401b7c,1771700063.826717,mbpp_no_security_no_verifier,always,0,,0,,3055,28.852019,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1707,791,557,,19.05555,3.277766,6.3881,,0,0,0,0,0,2,2,1,1,True,,
mbpp,agentic,MBPP/267,run-99401b7c,1771700084.271757,mbpp_no_security_no_verifier,always,0,,0,,2777,20.404273,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1639,821,317,,13.66143,2.024738,4.561441,,0,0,0,0,0,2,2,1,1,True,,
mbpp,agentic,MBPP/93,run-99401b7c,1771700108.937125,mbpp_no_security_no_verifier,always,0,,0,,2933,24.621946,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1707,875,351,,16.367196,4.107917,4.042434,,0,0,0,0,0,2,2,1,1,True,,
mbpp,agentic,MBPP/772,run-99401b7c,1771700135.974943,mbpp_no_security_no_verifier,always,0,,0,,3292,26.994038,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1615,964,713,,15.97456,3.193765,7.677958,,0,0,0,0,0,2,2,1,1,True,,
mbpp,agentic,MBPP/568,run-99401b7c,1771700154.314164,mbpp_no_security_no_verifier,always,0,,0,,2116,18.298117,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1288,627,201,,13.255371,1.345511,3.553632,,0,0,0,0,0,2,2,1,1,True,,
mbpp,agentic,MBPP/615,run-99401b7c,1771700179.341707,mbpp_no_security_no_verifier,always,0,,0,,3132,24.984576,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1711,863,558,,15.022717,2.98456,6.855943,,0,0,0,0,0,2,2,1,1,False,AssertionError,AssertionError:
mbpp,agentic,MBPP/404,run-99401b7c,1771700199.975708,mbpp_no_security_no_verifier,always,0,,0,,2308,20.592727,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1443,616,249,,13.658449,2.008245,4.794258,,0,0,0,0,0,2,2,1,1,True,,
mbpp,agentic,MBPP/450,run-99401b7c,1771700227.537127,mbpp_no_security_no_verifier,always,0,,0,,2529,27.517277,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1707,331,491,,16.435751,2.924104,8.035885,,0,0,0,0,0,2,2,1,1,True,,
mbpp,agentic,MBPP/439,run-99401b7c,1771700256.37199,mbpp_no_security_no_verifier,always,0,,0,,2723,28.792968,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1705,517,501,,17.353281,3.389107,7.896467,,0,0,0,0,0,2,2,1,1,True,,
mbpp,agentic,MBPP/753,run-99401b7c,1771700282.547184,mbpp_no_security_no_verifier,always,0,,0,,3068,26.130624,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1743,555,770,,15.798562,2.611912,7.592313,,0,0,0,0,0,2,2,1,1,False,AssertionError,AssertionError:
mbpp,agentic,MBPP/740,run-99401b7c,1771700306.1833,mbpp_no_security_no_verifier,always,0,,0,,3043,23.592314,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1736,892,415,,15.783423,3.46688,4.184755,,0,0,0,0,0,2,2,1,1,True,,
mbpp,agentic,MBPP/277,run-99401b7c,1771700328.641564,mbpp_no_security_no_verifier,always,0,,0,,2809,22.422568,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1565,788,456,,13.998674,2.748817,5.523879,,0,0,0,0,0,2,2,1,1,True,,
mbpp,agentic,MBPP/68,run-99401b7c,1771700351.947151,mbpp_no_security_no_verifier,always,0,,0,,3090,23.269569,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1697,965,428,,16.095778,2.423702,4.621712,,0,0,0,0,0,2,2,1,1,True,,
mbpp,agentic,MBPP/97,run-99401b7c,1771700374.453195,mbpp_no_security_no_verifier,always,0,,0,,2950,22.476049,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1704,755,491,,16.237627,1.853224,4.229567,,0,0,0,0,0,2,2,1,1,True,,
mbpp,agentic,MBPP/635,run-99401b7c,1771700402.638801,mbpp_no_security_no_verifier,always,0,,0,,3442,28.145292,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1697,1031,714,,17.4845,6.375595,4.127604,,0,0,0,0,0,2,2,1,1,True,,
mbpp,agentic,MBPP/726,run-99401b7c,1771700424.782392,mbpp_no_security_no_verifier,always,0,,0,,3163,22.099877,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1714,970,479,,15.685282,3.471423,2.781918,,0,0,0,0,0,2,2,1,1,True,,
mbpp,agentic,MBPP/577,run-99401b7c,1771700450.224726,mbpp_no_security_no_verifier,always,0,,0,,2971,25.392965,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1707,694,570,,14.949906,4.280672,6.035463,,0,0,0,0,0,2,2,1,1,True,,
mbpp,agentic,MBPP/312,run-99401b7c,1771700471.15148,mbpp_no_security_no_verifier,always,0,,0,,2640,20.892601,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1288,765,587,,12.043053,2.549848,6.198518,,0,0,0,0,0,2,2,1,1,True,,
mbpp,agentic,MBPP/776,run-99401b7c,1771700502.917191,mbpp_no_security_no_verifier,always,0,,0,,3227,31.727711,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1709,607,911,,16.678245,2.522949,12.381646,,0,0,0,0,0,2,2,1,1,False,AssertionError,AssertionError:
mbpp,agentic,MBPP/604,run-99401b7c,1771700527.531949,mbpp_no_security_no_verifier,always,0,,0,,2930,24.57717,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1705,857,368,,16.194779,3.817088,4.411448,,0,0,0,0,0,2,2,1,1,True,,
mbpp,agentic,MBPP/117,run-99401b7c,1771700552.108844,mbpp_no_security_no_verifier,always,0,,0,,2820,24.528136,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1711,452,657,,16.465622,3.289414,4.623789,,0,0,0,0,0,2,2,1,1,False,AssertionError,AssertionError:
mbpp,agentic,MBPP/599,run-99401b7c,1771700573.64522,mbpp_no_security_no_verifier,always,0,,0,,2572,21.494686,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1544,697,331,,14.920465,2.267305,4.194161,,0,0,0,0,0,2,2,1,1,True,,
mbpp,agentic,MBPP/91,run-99401b7c,1771700594.955232,mbpp_no_security_no_verifier,always,0,,0,,2721,21.266741,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1661,787,273,,14.982193,2.521222,3.618265,,0,0,0,0,0,2,2,1,1,True,,
mbpp,agentic,MBPP/57,run-99401b7c,1771700622.554777,mbpp_no_security_no_verifier,always,0,,0,,2823,27.556106,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1713,499,611,,16.708218,4.568848,6.130763,,0,0,0,0,0,2,2,1,1,True,,
mbpp,agentic,MBPP/400,run-99401b7c,1771700652.23961,mbpp_no_security_no_verifier,always,0,,0,,2713,29.641817,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1705,324,684,,17.827115,2.198651,9.495698,,0,0,0,0,0,2,2,1,1,False,AssertionError,AssertionError:
mbpp,agentic,MBPP/280,run-99401b7c,1771700674.125968,mbpp_no_security_no_verifier,always,0,,0,,2753,21.843567,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1544,867,342,,14.83006,1.922279,4.954131,,0,0,0,0,0,2,2,1,1,True,,
