dataset,strategy,task_id,run_id,ts_unix,pipeline_config,trigger_policy,verifier_invoked,verifier_decision,repair_attempted,origin_stage,run_total_tokens,end_to_end_latency_s,parse_error_type,parse_error_text,planner,executor,critic,verifier,planner_total_tokens,executor_total_tokens,critic_total_tokens,verifier_total_tokens,planner_latency_s,executor_latency_s,critic_latency_s,verifier_latency_s,planner_error,executor_repair,executor_harm,verifier_repair,verifier_harm,run_index_for_task,run_count_for_task,is_latest_for_task,has_boolean_result,passed,error_type,error
mbpp,agentic,MBPP/594,run-8efac691,1773678974.882366,mbpp_no_verifier,critic_fail,0,,0,,2952,32.727502,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1672,878,402,,24.501414,4.7097,3.094915,,0,0,0,0,0,1,1,1,1,True,,
mbpp,agentic,MBPP/74,run-8efac691,1773679000.403764,mbpp_no_verifier,critic_fail,0,,0,,2729,25.491258,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1705,571,453,,18.487618,5.061979,1.553049,,0,0,0,0,0,1,1,1,1,True,,
mbpp,agentic,MBPP/267,run-8efac691,1773679025.828529,mbpp_no_verifier,critic_fail,0,,0,,2677,25.397603,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1711,661,305,,19.380614,2.843844,2.805691,,0,0,0,0,0,1,1,1,1,True,,
mbpp,agentic,MBPP/93,run-8efac691,1773679049.841899,mbpp_no_verifier,critic_fail,0,,0,,2297,23.977366,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1703,331,263,,19.149204,2.804415,1.648011,,0,0,0,0,0,1,1,1,1,True,,
mbpp,agentic,MBPP/772,run-8efac691,1773679089.414839,mbpp_no_verifier,critic_fail,0,,0,,2585,39.535236,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1706,620,259,,28.875507,4.538288,1.582982,,0,0,0,0,0,1,1,1,1,True,,
mbpp,agentic,MBPP/568,run-8efac691,1773679107.504994,mbpp_no_verifier,critic_fail,0,,0,,2189,18.055075,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1401,583,205,,13.302838,2.199251,2.188285,,0,0,0,0,0,1,1,1,1,True,,
mbpp,agentic,MBPP/615,run-8efac691,1773679128.627371,mbpp_no_verifier,critic_fail,0,,0,,2769,21.087985,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1707,684,378,,16.193648,2.689372,1.829982,,0,0,0,0,0,1,1,1,1,False,AssertionError,AssertionError:
mbpp,agentic,MBPP/404,run-8efac691,1773679175.79309,mbpp_no_verifier,critic_fail,0,,0,,1844,47.135811,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1177,491,176,,42.636355,3.017311,1.111023,,0,0,0,0,0,1,1,1,1,True,,
mbpp,agentic,MBPP/450,run-8efac691,1773679198.340799,mbpp_no_verifier,critic_fail,0,,0,,2395,22.514231,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1705,332,358,,16.588582,3.013846,2.493235,,0,0,0,0,0,1,1,1,1,True,,
mbpp,agentic,MBPP/439,run-8efac691,1773679229.059244,mbpp_no_verifier,critic_fail,0,,0,,2381,30.678425,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1703,469,209,,24.827345,3.227454,2.257306,,0,0,0,0,0,1,1,1,1,True,,
mbpp,agentic,MBPP/753,run-4489c9b7,1774027086.322731,mbpp_no_verifier,critic_fail,0,,0,,2498,22.018256,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1739,377,382,,16.398754,3.447489,2.131304,,0,0,0,0,0,1,1,1,0,,,
mbpp,agentic,MBPP/740,run-4489c9b7,1774027110.694662,mbpp_no_verifier,critic_fail,0,,0,,2799,24.355604,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1734,741,324,,18.191808,4.389568,1.727538,,0,0,0,0,0,1,1,1,0,,,
mbpp,agentic,MBPP/277,run-4489c9b7,1774027130.454989,mbpp_no_verifier,critic_fail,0,,0,,2759,19.743313,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1716,736,307,,15.426258,2.441145,1.829226,,0,0,0,0,0,1,1,1,0,,,
mbpp,agentic,MBPP/68,run-4489c9b7,1774027150.934057,mbpp_no_verifier,critic_fail,0,,0,,2652,20.464318,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1513,849,290,,13.569987,3.581862,3.262179,,0,0,0,0,0,1,1,1,0,,,
mbpp,agentic,MBPP/97,run-4489c9b7,1774027171.723637,mbpp_no_verifier,critic_fail,0,,0,,2868,20.772445,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1708,705,455,,16.659523,2.440472,1.618621,,0,0,0,0,0,1,1,1,0,,,
