dataset,strategy,task_id,expected_task_count,artifact_source,artifact_found,model,passed,error_type,canonical_parse_error,artifact_parse_error,canonical_char_count,artifact_char_count,canonical_line_count,artifact_line_count,canonical_nonempty_line_count,artifact_nonempty_line_count,canonical_parse_ok,artifact_parse_ok,canonical_ast_node_count,artifact_ast_node_count,canonical_function_count,artifact_function_count,canonical_branch_count,artifact_branch_count,canonical_loop_count,artifact_loop_count,canonical_call_count,artifact_call_count,canonical_comprehension_count,artifact_comprehension_count,canonical_return_count,artifact_return_count,canonical_max_control_nesting_depth,artifact_max_control_nesting_depth,canonical_cyclomatic_proxy,artifact_cyclomatic_proxy,lexical_cosine_similarity,token_cosine_similarity,line_count_delta,nonempty_line_count_delta,ast_node_count_delta,branch_count_delta,loop_count_delta,call_count_delta,max_control_nesting_depth_delta,cyclomatic_proxy_delta,line_count_ratio,ast_node_count_ratio,cyclomatic_proxy_ratio
mbpp,agentic_no_planner,MBPP/100,200,,0,,,,,empty,166,0,7,0,6,0,1,0,51,,1,,1,,1,,4,,0,,1,,2,,3,,,,-7,-6,,,,,,,0.0,,
mbpp,agentic_no_planner,MBPP/102,200,,0,,,,,empty,108,0,3,0,3,0,1,0,29,,1,,0,,1,,3,,1,,1,,1,,3,,,,-3,-3,,,,,,,0.0,,
mbpp,agentic_no_planner,MBPP/103,200,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,180,841,6,29,6,25,1,1,70,161,1,1,2,2,0,3,2,3,0,1,3,3,1,2,4,8,0.7449887315796286,0.6482630953865414,23,19,91,0,3,1,1,4,4.833333333333333,2.3,2.0
mbpp,agentic_no_planner,MBPP/106,200,,0,,,,,empty,94,0,3,0,3,0,1,0,23,,1,,0,,0,,2,,0,,1,,0,,1,,,,-3,-3,,,,,,,0.0,,
mbpp,agentic_no_planner,MBPP/109,200,,0,,,,,empty,136,0,6,0,6,0,1,0,39,,1,,1,,1,,1,,0,,1,,2,,3,,,,-6,-6,,,,,,,0.0,,
mbpp,agentic_no_planner,MBPP/11,200,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,255,536,10,20,10,18,1,1,109,117,1,1,2,2,2,0,4,2,0,0,1,3,2,1,5,4,0.4235863476119423,0.8168884188971652,10,8,8,0,-2,-2,-1,-1,2.0,1.073394495412844,0.8
mbpp,agentic_no_planner,MBPP/113,200,,0,,,,,empty,318,0,10,0,10,0,1,0,90,,1,,3,,2,,8,,2,,4,,4,,7,,,,-10,-10,,,,,,,0.0,,
mbpp,agentic_no_planner,MBPP/115,200,,0,,,,,empty,86,0,3,0,3,0,1,0,23,,1,,0,,1,,1,,1,,1,,1,,2,,,,-3,-3,,,,,,,0.0,,
mbpp,agentic_no_planner,MBPP/116,200,,0,,,,,empty,83,0,3,0,3,0,1,0,24,,1,,0,,0,,3,,0,,1,,0,,1,,,,-3,-3,,,,,,,0.0,,
mbpp,agentic_no_planner,MBPP/117,200,predictions_executable,1,anthropic/claude-sonnet-4.5,False,AssertionError,,,285,656,11,20,11,18,1,1,70,64,1,1,1,1,2,2,5,4,0,0,1,1,3,3,4,4,0.26549712202679576,0.7573715616757813,9,7,-6,0,0,-1,0,0,1.8181818181818181,0.9142857142857143,1.0
