dataset,strategy,task_id,run_id,critic_verdict_first_pass,verifier_invoked,verifier_decision,repair_attempted,final_passed,pre_verifier_exec_invoked,pre_verifier_exec_passed,verifier_pre_repair_exec_passed,verifier_post_repair_exec_passed,critic_true_positive,critic_true_negative,blame_executor,blame_critic_false_fail,blame_critic_false_pass,verifier_strict_eligible,verifier_help,verifier_harm,executor_blame_from_critic,critic_blame_from_verifier,blame_basis,verifier_blame_basis
mbpp,agentic_no_planner,MBPP/103,run-3f893dc6,FAIL,0,,0,True,False,,,,0,0,0,0,0,0,0,0,1,,checkpoint_missing,not_applicable
mbpp,agentic_no_planner,MBPP/11,run-3f893dc6,FAIL,0,,0,True,False,,,,0,0,0,0,0,0,0,0,1,,checkpoint_missing,not_applicable
mbpp,agentic_no_planner,MBPP/117,run-3f893dc6,PASS,0,,0,False,False,,,,0,0,0,0,0,0,0,0,0,,checkpoint_missing,not_applicable
mbpp,agentic_no_planner,MBPP/131,run-3f893dc6,PASS,0,,0,True,False,,,,0,0,0,0,0,0,0,0,0,,checkpoint_missing,not_applicable
mbpp,agentic_no_planner,MBPP/167,run-3f893dc6,PASS,0,,0,True,False,,,,0,0,0,0,0,0,0,0,0,,checkpoint_missing,not_applicable
mbpp,agentic_no_planner,MBPP/172,run-3f893dc6,FAIL,0,,0,True,False,,,,0,0,0,0,0,0,0,0,1,,checkpoint_missing,not_applicable
mbpp,agentic_no_planner,MBPP/251,run-3f893dc6,FAIL,0,,0,True,False,,,,0,0,0,0,0,0,0,0,1,,checkpoint_missing,not_applicable
mbpp,agentic_no_planner,MBPP/260,run-3f893dc6,FAIL,0,,0,False,False,,,,0,0,0,0,0,0,0,0,1,,checkpoint_missing,not_applicable
mbpp,agentic_no_planner,MBPP/267,run-eb31cc7e,FAIL,0,,0,True,True,True,,,0,0,0,1,0,0,0,0,1,,checkpoint_exec_only,not_applicable
mbpp,agentic_no_planner,MBPP/277,run-3f893dc6,PASS,0,,0,True,False,,,,0,0,0,0,0,0,0,0,0,,checkpoint_missing,not_applicable
mbpp,agentic_no_planner,MBPP/280,run-3f893dc6,PASS,0,,0,True,False,,,,0,0,0,0,0,0,0,0,0,,checkpoint_missing,not_applicable
mbpp,agentic_no_planner,MBPP/281,run-3f893dc6,PASS,0,,0,True,False,,,,0,0,0,0,0,0,0,0,0,,checkpoint_missing,not_applicable
mbpp,agentic_no_planner,MBPP/282,run-3f893dc6,PASS,0,,0,True,False,,,,0,0,0,0,0,0,0,0,0,,checkpoint_missing,not_applicable
mbpp,agentic_no_planner,MBPP/287,run-3f893dc6,PASS,0,,0,True,False,,,,0,0,0,0,0,0,0,0,0,,checkpoint_missing,not_applicable
mbpp,agentic_no_planner,MBPP/312,run-3f893dc6,PASS,0,,0,True,False,,,,0,0,0,0,0,0,0,0,0,,checkpoint_missing,not_applicable
mbpp,agentic_no_planner,MBPP/400,run-3f893dc6,FAIL,0,,0,False,False,,,,0,0,0,0,0,0,0,0,1,,checkpoint_missing,not_applicable
mbpp,agentic_no_planner,MBPP/404,run-eb31cc7e,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
mbpp,agentic_no_planner,MBPP/428,run-3f893dc6,PASS,0,,0,True,False,,,,0,0,0,0,0,0,0,0,0,,checkpoint_missing,not_applicable
mbpp,agentic_no_planner,MBPP/439,run-eb31cc7e,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
mbpp,agentic_no_planner,MBPP/450,run-eb31cc7e,FAIL,0,,0,True,True,True,,,0,0,0,1,0,0,0,0,1,,checkpoint_exec_only,not_applicable
mbpp,agentic_no_planner,MBPP/455,run-3f893dc6,PASS,0,,0,True,False,,,,0,0,0,0,0,0,0,0,0,,checkpoint_missing,not_applicable
mbpp,agentic_no_planner,MBPP/557,run-3f893dc6,PASS,0,,0,True,False,,,,0,0,0,0,0,0,0,0,0,,checkpoint_missing,not_applicable
mbpp,agentic_no_planner,MBPP/558,run-3f893dc6,PASS,0,,0,True,False,,,,0,0,0,0,0,0,0,0,0,,checkpoint_missing,not_applicable
mbpp,agentic_no_planner,MBPP/568,run-eb31cc7e,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
mbpp,agentic_no_planner,MBPP/57,run-3f893dc6,PASS,0,,0,True,False,,,,0,0,0,0,0,0,0,0,0,,checkpoint_missing,not_applicable
mbpp,agentic_no_planner,MBPP/577,run-3f893dc6,PASS,0,,0,True,False,,,,0,0,0,0,0,0,0,0,0,,checkpoint_missing,not_applicable
mbpp,agentic_no_planner,MBPP/594,run-eb31cc7e,FAIL,0,,0,True,True,True,,,0,0,0,1,0,0,0,0,1,,checkpoint_exec_only,not_applicable
mbpp,agentic_no_planner,MBPP/599,run-3f893dc6,PASS,0,,0,True,False,,,,0,0,0,0,0,0,0,0,0,,checkpoint_missing,not_applicable
mbpp,agentic_no_planner,MBPP/604,run-3f893dc6,PASS,0,,0,True,False,,,,0,0,0,0,0,0,0,0,0,,checkpoint_missing,not_applicable
mbpp,agentic_no_planner,MBPP/615,run-eb31cc7e,FAIL,0,,0,False,True,False,,,1,0,1,0,0,0,0,0,1,,checkpoint_exec_only,not_applicable
mbpp,agentic_no_planner,MBPP/635,run-3f893dc6,PASS,0,,0,True,False,,,,0,0,0,0,0,0,0,0,0,,checkpoint_missing,not_applicable
mbpp,agentic_no_planner,MBPP/68,run-3f893dc6,PASS,0,,0,True,False,,,,0,0,0,0,0,0,0,0,0,,checkpoint_missing,not_applicable
mbpp,agentic_no_planner,MBPP/722,run-3f893dc6,FAIL,0,,0,False,False,,,,0,0,0,0,0,0,0,0,1,,checkpoint_missing,not_applicable
mbpp,agentic_no_planner,MBPP/724,run-3f893dc6,FAIL,0,,0,True,False,,,,0,0,0,0,0,0,0,0,1,,checkpoint_missing,not_applicable
mbpp,agentic_no_planner,MBPP/726,run-3f893dc6,PASS,0,,0,True,False,,,,0,0,0,0,0,0,0,0,0,,checkpoint_missing,not_applicable
mbpp,agentic_no_planner,MBPP/730,run-3f893dc6,PASS,0,,0,True,False,,,,0,0,0,0,0,0,0,0,0,,checkpoint_missing,not_applicable
mbpp,agentic_no_planner,MBPP/74,run-eb31cc7e,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
mbpp,agentic_no_planner,MBPP/740,run-3f893dc6,PASS,0,,0,True,False,,,,0,0,0,0,0,0,0,0,0,,checkpoint_missing,not_applicable
mbpp,agentic_no_planner,MBPP/744,run-3f893dc6,PASS,0,,0,True,False,,,,0,0,0,0,0,0,0,0,0,,checkpoint_missing,not_applicable
mbpp,agentic_no_planner,MBPP/753,run-eb31cc7e,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
mbpp,agentic_no_planner,MBPP/772,run-eb31cc7e,FAIL,0,,0,True,True,True,,,0,0,0,1,0,0,0,0,1,,checkpoint_exec_only,not_applicable
mbpp,agentic_no_planner,MBPP/776,run-3f893dc6,FAIL,0,,0,False,False,,,,0,0,0,0,0,0,0,0,1,,checkpoint_missing,not_applicable
mbpp,agentic_no_planner,MBPP/796,run-3f893dc6,FAIL,0,,0,True,False,,,,0,0,0,0,0,0,0,0,1,,checkpoint_missing,not_applicable
