dataset,strategy,task_id,run_id,ts_unix,pipeline_config,trigger_policy,verifier_invoked,verifier_decision,repair_attempted,origin_stage,run_total_tokens,end_to_end_latency_s,parse_error_type,parse_error_text,planner,executor,critic,verifier,planner_total_tokens,executor_total_tokens,critic_total_tokens,verifier_total_tokens,planner_latency_s,executor_latency_s,critic_latency_s,verifier_latency_s,planner_error,executor_repair,executor_harm,verifier_repair,verifier_harm,run_index_for_task,run_count_for_task,is_latest_for_task,has_boolean_result,passed,error_type,error
mbpp,agentic_no_planner,MBPP/594,run-eb31cc7e,1773679261.621538,mbpp_no_planner_no_verifier,critic_fail,0,,0,,723,6.244738,,,,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,,365,358,,,3.375625,2.530186,,0,0,0,0,0,1,1,1,1,True,,
mbpp,agentic_no_planner,MBPP/74,run-eb31cc7e,1773679268.927136,mbpp_no_planner_no_verifier,critic_fail,0,,0,,911,7.274957,,,,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,,500,411,,,4.909707,2.002149,,0,0,0,0,0,1,1,1,1,True,,
mbpp,agentic_no_planner,MBPP/267,run-eb31cc7e,1773679275.034,mbpp_no_planner_no_verifier,critic_fail,0,,0,,570,6.073458,,,,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,,277,293,,,2.717823,3.012236,,0,0,0,0,0,1,1,1,1,True,,
mbpp,agentic_no_planner,MBPP/93,run-eb31cc7e,1773679279.429462,mbpp_no_planner_no_verifier,critic_fail,0,,0,,503,4.364356,,,,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,,288,215,,,2.666469,1.36111,,0,0,0,0,0,1,1,1,1,True,,
mbpp,agentic_no_planner,MBPP/772,run-eb31cc7e,1773679285.388228,mbpp_no_planner_no_verifier,critic_fail,0,,0,,634,5.925636,,,,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,,332,302,,,3.870567,1.709337,,0,0,0,0,0,1,1,1,1,True,,
mbpp,agentic_no_planner,MBPP/568,run-eb31cc7e,1773679290.103571,mbpp_no_planner_no_verifier,critic_fail,0,,0,,428,4.68469,,,,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,,227,201,,,2.397635,1.939809,,0,0,0,0,0,1,1,1,1,True,,
mbpp,agentic_no_planner,MBPP/615,run-eb31cc7e,1773679294.937209,mbpp_no_planner_no_verifier,critic_fail,0,,0,,626,4.799469,,,,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,,259,367,,,2.578094,1.874795,,0,0,0,0,0,1,1,1,1,False,AssertionError,AssertionError:
mbpp,agentic_no_planner,MBPP/404,run-eb31cc7e,1773679299.368146,mbpp_no_planner_no_verifier,critic_fail,0,,0,,424,4.400407,,,,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,,237,187,,,2.707788,1.361253,,0,0,0,0,0,1,1,1,1,True,,
mbpp,agentic_no_planner,MBPP/450,run-eb31cc7e,1773679305.725062,mbpp_no_planner_no_verifier,critic_fail,0,,0,,598,6.318547,,,,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,,308,290,,,4.342376,1.633189,,0,0,0,0,0,1,1,1,1,True,,
mbpp,agentic_no_planner,MBPP/439,run-eb31cc7e,1773679311.579585,mbpp_no_planner_no_verifier,critic_fail,0,,0,,552,5.820342,,,,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,,292,260,,,3.694874,1.782325,,0,0,0,0,0,1,1,1,1,True,,
