dataset,strategy,task_id,expected_task_count,artifact_source,artifact_found,model,passed,error_type,canonical_parse_error,artifact_parse_error,canonical_char_count,artifact_char_count,canonical_line_count,artifact_line_count,canonical_nonempty_line_count,artifact_nonempty_line_count,canonical_parse_ok,artifact_parse_ok,canonical_ast_node_count,artifact_ast_node_count,canonical_function_count,artifact_function_count,canonical_branch_count,artifact_branch_count,canonical_loop_count,artifact_loop_count,canonical_call_count,artifact_call_count,canonical_comprehension_count,artifact_comprehension_count,canonical_return_count,artifact_return_count,canonical_max_control_nesting_depth,artifact_max_control_nesting_depth,canonical_cyclomatic_proxy,artifact_cyclomatic_proxy,lexical_cosine_similarity,token_cosine_similarity,line_count_delta,nonempty_line_count_delta,ast_node_count_delta,branch_count_delta,loop_count_delta,call_count_delta,max_control_nesting_depth_delta,cyclomatic_proxy_delta,line_count_ratio,ast_node_count_ratio,cyclomatic_proxy_ratio
mbpp,agentic_plus_verifier,MBPP/100,200,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,166,587,7,28,6,23,1,1,51,56,1,2,1,1,1,1,4,2,0,0,1,2,2,2,3,3,0.37022165167726306,0.7103127906581926,21,17,5,0,0,-2,0,0,4.0,1.0980392156862746,1.0
mbpp,agentic_plus_verifier,MBPP/102,200,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,108,576,3,22,3,19,1,1,29,39,1,1,0,1,1,1,3,3,1,1,1,2,1,1,3,3,0.6076436202502,0.8666199973345987,19,16,10,1,0,0,0,0,7.333333333333333,1.3448275862068966,1.0
mbpp,agentic_plus_verifier,MBPP/103,200,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,180,1020,6,35,6,30,1,1,70,179,1,1,2,4,0,3,2,3,0,1,3,3,1,3,4,9,0.7380327088322336,0.6117001656385587,29,24,109,2,3,1,2,5,5.833333333333333,2.557142857142857,2.25
mbpp,agentic_plus_verifier,MBPP/106,200,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,94,313,3,12,3,10,1,1,23,17,1,1,0,0,0,0,2,1,0,0,1,1,0,0,1,1,0.5469992182776683,0.8825226081218283,9,7,-6,0,0,-1,0,0,4.0,0.7391304347826086,1.0
mbpp,agentic_plus_verifier,MBPP/109,200,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,136,540,6,19,6,17,1,1,39,80,1,1,1,1,1,1,1,3,0,0,1,1,2,2,3,3,0.5528638004143217,0.8226127456606226,13,11,41,0,0,2,0,0,3.1666666666666665,2.051282051282051,1.0
mbpp,agentic_plus_verifier,MBPP/11,200,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,255,338,10,10,10,10,1,1,109,110,1,1,2,2,2,0,4,2,0,0,1,3,2,1,5,3,0.410241841233154,0.7615543841151988,0,0,1,0,-2,-2,-1,-2,1.0,1.0091743119266054,0.6
mbpp,agentic_plus_verifier,MBPP/113,200,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,318,673,10,26,10,24,1,1,90,105,1,1,3,6,2,1,8,4,2,0,4,6,4,2,7,9,0.7149113275226219,0.7915383801480194,16,14,15,3,-1,-4,-2,2,2.6,1.1666666666666667,1.2857142857142858
mbpp,agentic_plus_verifier,MBPP/115,200,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,86,66,3,2,3,2,1,1,23,22,1,1,0,0,1,1,1,2,1,1,1,1,1,1,2,2,0.7947194142390263,0.884228740268195,-1,-1,-1,0,0,1,0,0,0.6666666666666666,0.9565217391304348,1.0
mbpp,agentic_plus_verifier,MBPP/116,200,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,83,407,3,14,3,12,1,1,24,37,1,1,0,1,0,1,3,3,0,1,1,2,0,1,1,3,0.4502251688907481,0.8525724964548895,11,9,13,1,1,0,1,2,4.666666666666667,1.5416666666666667,3.0
mbpp,agentic_plus_verifier,MBPP/117,200,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,285,756,11,22,11,20,1,1,70,72,1,1,1,1,2,2,5,5,0,0,1,1,3,3,4,4,0.25877458475338283,0.7599971859572819,11,9,2,0,0,0,0,0,2.0,1.0285714285714285,1.0
mbpp,agentic_plus_verifier,MBPP/123,200,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,587,1204,15,38,15,34,1,1,141,169,1,2,4,6,3,2,10,7,2,0,3,3,2,3,9,10,0.45461184426202417,0.600527557372271,23,19,28,2,-1,-3,1,1,2.533333333333333,1.198581560283688,1.1111111111111112
mbpp,agentic_plus_verifier,MBPP/127,200,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,193,40,9,2,9,2,1,1,55,12,1,1,3,0,0,0,2,0,0,0,4,1,3,0,4,1,0.6885303726590963,0.8363145133966761,-7,-7,-43,-3,0,-2,-3,-3,0.2222222222222222,0.21818181818181817,0.25
mbpp,agentic_plus_verifier,MBPP/129,200,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,526,1277,17,41,17,38,1,1,160,209,1,1,1,8,5,6,12,13,2,3,2,9,2,2,7,15,0.5213208761685163,0.8077921799549893,24,21,49,7,1,1,0,8,2.411764705882353,1.30625,2.142857142857143
mbpp,agentic_plus_verifier,MBPP/131,200,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,347,433,13,15,13,15,1,1,71,109,1,1,2,2,2,2,0,8,0,0,1,2,2,2,5,5,0.5592988990798926,0.532814348564635,2,2,38,0,0,8,0,0,1.1538461538461537,1.5352112676056338,1.0
mbpp,agentic_plus_verifier,MBPP/139,200,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,80,449,3,18,3,14,1,1,18,31,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1,2,0.12977713690461004,0.6655583256397218,15,11,13,1,0,1,1,1,6.0,1.7222222222222223,2.0
mbpp,agentic_plus_verifier,MBPP/14,200,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,50,52,2,2,2,2,1,1,20,20,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0.6708203932499369,0.9354143466934852,0,0,0,0,0,0,0,0,1.0,1.0,1.0
