dataset,strategy,task_id,run_id,critic_verdict_first_pass,verifier_invoked,verifier_decision,repair_attempted,final_passed,pre_verifier_exec_invoked,pre_verifier_exec_passed,verifier_pre_repair_exec_passed,verifier_post_repair_exec_passed,critic_true_positive,critic_true_negative,blame_executor,blame_critic_false_fail,blame_critic_false_pass,verifier_strict_eligible,verifier_help,verifier_harm,executor_blame_from_critic,critic_blame_from_verifier,blame_basis,verifier_blame_basis
mbpp,agentic_plus_verifier,MBPP/102,run-a196c992,FAIL,1,REJECT,1,True,True,False,False,True,1,0,1,0,0,1,1,0,1,0,checkpoint_exec_only,repair_checkpoint_delta
mbpp,agentic_plus_verifier,MBPP/103,run-a196c992,FAIL,1,REJECT,1,True,True,True,True,True,0,0,0,1,0,1,0,0,1,0,checkpoint_exec_only,repair_checkpoint_delta
mbpp,agentic_plus_verifier,MBPP/106,run-a196c992,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
mbpp,agentic_plus_verifier,MBPP/11,run-a196c992,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
mbpp,agentic_plus_verifier,MBPP/117,run-a196c992,FAIL,1,REJECT,1,True,True,False,False,True,1,0,1,0,0,1,1,0,1,0,checkpoint_exec_only,repair_checkpoint_delta
mbpp,agentic_plus_verifier,MBPP/131,run-a196c992,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
mbpp,agentic_plus_verifier,MBPP/145,run-a196c992,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
mbpp,agentic_plus_verifier,MBPP/167,run-a196c992,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
mbpp,agentic_plus_verifier,MBPP/172,run-a196c992,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
mbpp,agentic_plus_verifier,MBPP/234,run-a196c992,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
mbpp,agentic_plus_verifier,MBPP/249,run-a196c992,FAIL,1,REJECT,1,True,True,False,False,True,1,0,1,0,0,1,1,0,1,0,checkpoint_exec_only,repair_checkpoint_delta
mbpp,agentic_plus_verifier,MBPP/251,run-a196c992,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
mbpp,agentic_plus_verifier,MBPP/260,run-a196c992,PASS,0,,0,False,True,False,,,0,0,0,0,1,0,0,0,0,,checkpoint_exec_only,not_applicable
mbpp,agentic_plus_verifier,MBPP/267,run-c0dae165,FAIL,1,REJECT,1,False,True,True,True,False,0,0,0,1,0,1,0,1,1,0,checkpoint_exec_only,repair_checkpoint_delta
mbpp,agentic_plus_verifier,MBPP/277,run-a196c992,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
mbpp,agentic_plus_verifier,MBPP/280,run-a196c992,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
mbpp,agentic_plus_verifier,MBPP/281,run-a196c992,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
mbpp,agentic_plus_verifier,MBPP/282,run-a196c992,FAIL,1,REJECT,1,False,True,True,True,False,0,0,0,1,0,1,0,1,1,0,checkpoint_exec_only,repair_checkpoint_delta
mbpp,agentic_plus_verifier,MBPP/287,run-a196c992,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
mbpp,agentic_plus_verifier,MBPP/311,run-a196c992,PASS,0,,0,False,True,False,,,0,0,0,0,1,0,0,0,0,,checkpoint_exec_only,not_applicable
mbpp,agentic_plus_verifier,MBPP/312,run-a196c992,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
mbpp,agentic_plus_verifier,MBPP/400,run-a196c992,FAIL,1,REJECT,1,True,True,False,False,True,1,0,1,0,0,1,1,0,1,0,checkpoint_exec_only,repair_checkpoint_delta
mbpp,agentic_plus_verifier,MBPP/404,run-c0dae165,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
mbpp,agentic_plus_verifier,MBPP/425,run-a196c992,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
mbpp,agentic_plus_verifier,MBPP/428,run-a196c992,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
mbpp,agentic_plus_verifier,MBPP/433,run-a196c992,FAIL,1,REJECT,1,False,True,True,True,False,0,0,0,1,0,1,0,1,1,0,checkpoint_exec_only,repair_checkpoint_delta
mbpp,agentic_plus_verifier,MBPP/434,run-a196c992,FAIL,1,REJECT,1,True,True,True,True,True,0,0,0,1,0,1,0,0,1,0,checkpoint_exec_only,repair_checkpoint_delta
mbpp,agentic_plus_verifier,MBPP/439,run-c0dae165,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
mbpp,agentic_plus_verifier,MBPP/450,run-c0dae165,FAIL,1,REJECT,1,True,True,True,True,True,0,0,0,1,0,1,0,0,1,0,checkpoint_exec_only,repair_checkpoint_delta
mbpp,agentic_plus_verifier,MBPP/455,run-a196c992,FAIL,1,REJECT,1,True,True,True,True,True,0,0,0,1,0,1,0,0,1,0,checkpoint_exec_only,repair_checkpoint_delta
mbpp,agentic_plus_verifier,MBPP/476,run-a196c992,FAIL,1,REJECT,1,True,True,True,True,True,0,0,0,1,0,1,0,0,1,0,checkpoint_exec_only,repair_checkpoint_delta
mbpp,agentic_plus_verifier,MBPP/557,run-a196c992,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
mbpp,agentic_plus_verifier,MBPP/558,run-a196c992,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
mbpp,agentic_plus_verifier,MBPP/568,run-c0dae165,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
mbpp,agentic_plus_verifier,MBPP/57,run-a196c992,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
mbpp,agentic_plus_verifier,MBPP/577,run-a196c992,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
mbpp,agentic_plus_verifier,MBPP/594,run-c0dae165,FAIL,1,REJECT,1,True,True,True,True,True,0,0,0,1,0,1,0,0,1,0,checkpoint_exec_only,repair_checkpoint_delta
mbpp,agentic_plus_verifier,MBPP/599,run-a196c992,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
mbpp,agentic_plus_verifier,MBPP/604,run-a196c992,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
mbpp,agentic_plus_verifier,MBPP/606,run-a196c992,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
mbpp,agentic_plus_verifier,MBPP/615,run-2148028d,FAIL,1,REJECT,1,True,True,False,False,True,1,0,1,0,0,1,1,0,1,0,checkpoint_exec_only,repair_checkpoint_delta
mbpp,agentic_plus_verifier,MBPP/62,run-a196c992,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
mbpp,agentic_plus_verifier,MBPP/635,run-a196c992,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
mbpp,agentic_plus_verifier,MBPP/68,run-a196c992,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
mbpp,agentic_plus_verifier,MBPP/722,run-a196c992,FAIL,1,REJECT,1,True,True,False,False,True,1,0,1,0,0,1,1,0,1,0,checkpoint_exec_only,repair_checkpoint_delta
mbpp,agentic_plus_verifier,MBPP/724,run-a196c992,FAIL,1,REJECT,1,True,True,True,True,True,0,0,0,1,0,1,0,0,1,0,checkpoint_exec_only,repair_checkpoint_delta
mbpp,agentic_plus_verifier,MBPP/726,run-a196c992,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
mbpp,agentic_plus_verifier,MBPP/730,run-a196c992,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
mbpp,agentic_plus_verifier,MBPP/74,run-c0dae165,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
mbpp,agentic_plus_verifier,MBPP/740,run-a196c992,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
mbpp,agentic_plus_verifier,MBPP/744,run-a196c992,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
mbpp,agentic_plus_verifier,MBPP/753,run-a196c992,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
mbpp,agentic_plus_verifier,MBPP/772,run-c0dae165,FAIL,1,REJECT,1,False,True,True,True,False,0,0,0,1,0,1,0,1,1,0,checkpoint_exec_only,repair_checkpoint_delta
mbpp,agentic_plus_verifier,MBPP/776,run-a196c992,FAIL,1,REJECT,1,False,True,True,True,False,0,0,0,1,0,1,0,1,1,0,checkpoint_exec_only,repair_checkpoint_delta
mbpp,agentic_plus_verifier,MBPP/796,run-a196c992,FAIL,1,REJECT,1,False,True,True,True,False,0,0,0,1,0,1,0,1,1,0,checkpoint_exec_only,repair_checkpoint_delta
mbpp,agentic_plus_verifier,MBPP/84,run-a196c992,PASS,0,,0,True,True,True,,,0,1,0,0,0,0,0,0,0,,checkpoint_exec_only,not_applicable
mbpp,agentic_plus_verifier,MBPP/87,run-a196c992,PASS,0,,0,False,True,False,,,0,0,0,0,1,0,0,0,0,,checkpoint_exec_only,not_applicable
