dataset,strategy,task_id,expected_task_count,artifact_source,artifact_found,model,passed,error_type,canonical_parse_error,artifact_parse_error,canonical_char_count,artifact_char_count,canonical_line_count,artifact_line_count,canonical_nonempty_line_count,artifact_nonempty_line_count,canonical_parse_ok,artifact_parse_ok,canonical_ast_node_count,artifact_ast_node_count,canonical_function_count,artifact_function_count,canonical_branch_count,artifact_branch_count,canonical_loop_count,artifact_loop_count,canonical_call_count,artifact_call_count,canonical_comprehension_count,artifact_comprehension_count,canonical_return_count,artifact_return_count,canonical_max_control_nesting_depth,artifact_max_control_nesting_depth,canonical_cyclomatic_proxy,artifact_cyclomatic_proxy,lexical_cosine_similarity,token_cosine_similarity,line_count_delta,nonempty_line_count_delta,ast_node_count_delta,branch_count_delta,loop_count_delta,call_count_delta,max_control_nesting_depth_delta,cyclomatic_proxy_delta,line_count_ratio,ast_node_count_ratio,cyclomatic_proxy_ratio
mbpp,monolithic,MBPP/100,200,,0,,,,,empty,166,0,7,0,6,0,1,0,51,,1,,1,,1,,4,,0,,1,,2,,3,,,,-7,-6,,,,,,,0.0,,
mbpp,monolithic,MBPP/102,200,,0,,,,,empty,108,0,3,0,3,0,1,0,29,,1,,0,,1,,3,,1,,1,,1,,3,,,,-3,-3,,,,,,,0.0,,
mbpp,monolithic,MBPP/103,200,runs_csv_final_executable_code,1,,,,,,180,403,6,14,6,14,1,1,70,177,1,1,2,4,0,3,2,3,0,1,3,3,1,3,4,9,0.7756012415366497,0.6119736734392315,8,8,107,2,3,1,2,5,2.3333333333333335,2.5285714285714285,2.25
mbpp,monolithic,MBPP/106,200,,0,,,,,empty,94,0,3,0,3,0,1,0,23,,1,,0,,0,,2,,0,,1,,0,,1,,,,-3,-3,,,,,,,0.0,,
mbpp,monolithic,MBPP/109,200,,0,,,,,empty,136,0,6,0,6,0,1,0,39,,1,,1,,1,,1,,0,,1,,2,,3,,,,-6,-6,,,,,,,0.0,,
mbpp,monolithic,MBPP/11,200,runs_csv_final_executable_code,1,,,,,,255,328,10,10,10,10,1,1,109,102,1,1,2,2,2,0,4,2,0,0,1,3,2,1,5,3,0.44536686939157066,0.7872416861385763,0,0,-7,0,-2,-2,-1,-2,1.0,0.9357798165137615,0.6
mbpp,monolithic,MBPP/113,200,,0,,,,,empty,318,0,10,0,10,0,1,0,90,,1,,3,,2,,8,,2,,4,,4,,7,,,,-10,-10,,,,,,,0.0,,
mbpp,monolithic,MBPP/115,200,,0,,,,,empty,86,0,3,0,3,0,1,0,23,,1,,0,,1,,1,,1,,1,,1,,2,,,,-3,-3,,,,,,,0.0,,
mbpp,monolithic,MBPP/116,200,,0,,,,,empty,83,0,3,0,3,0,1,0,24,,1,,0,,0,,3,,0,,1,,0,,1,,,,-3,-3,,,,,,,0.0,,
mbpp,monolithic,MBPP/117,200,runs_csv_final_executable_code,1,,,,,,285,365,11,11,11,11,1,1,70,62,1,1,1,1,2,2,5,4,0,0,1,1,3,3,4,4,0.3332444799842049,0.759404777580274,0,0,-8,0,0,-1,0,0,1.0,0.8857142857142857,1.0
