dataset,strategy,task_id,run_id,critic_verdict_first_pass,verifier_invoked,verifier_decision,repair_attempted,final_passed,pre_verifier_exec_invoked,pre_verifier_exec_passed,verifier_pre_repair_exec_passed,verifier_post_repair_exec_passed,critic_true_positive,critic_true_negative,blame_executor,blame_critic_false_fail,blame_critic_false_pass,verifier_strict_eligible,verifier_help,verifier_harm,executor_blame_from_critic,critic_blame_from_verifier,blame_basis,verifier_blame_basis
mbpp,monolithic,MBPP/103,run-1903b2a1,UNKNOWN,0,,0,,,,,,0,0,0,0,0,0,0,0,,,checkpoint_missing,not_applicable
mbpp,monolithic,MBPP/11,run-1903b2a1,UNKNOWN,0,,0,,,,,,0,0,0,0,0,0,0,0,,,checkpoint_missing,not_applicable
mbpp,monolithic,MBPP/117,run-466bf8ed,UNKNOWN,0,,0,,,,,,0,0,0,0,0,0,0,0,,,checkpoint_missing,not_applicable
mbpp,monolithic,MBPP/131,run-1903b2a1,UNKNOWN,0,,0,,,,,,0,0,0,0,0,0,0,0,,,checkpoint_missing,not_applicable
mbpp,monolithic,MBPP/167,run-1903b2a1,UNKNOWN,0,,0,,,,,,0,0,0,0,0,0,0,0,,,checkpoint_missing,not_applicable
mbpp,monolithic,MBPP/172,run-1903b2a1,UNKNOWN,0,,0,,,,,,0,0,0,0,0,0,0,0,,,checkpoint_missing,not_applicable
mbpp,monolithic,MBPP/251,run-1903b2a1,UNKNOWN,0,,0,,,,,,0,0,0,0,0,0,0,0,,,checkpoint_missing,not_applicable
mbpp,monolithic,MBPP/260,run-466bf8ed,UNKNOWN,0,,0,,,,,,0,0,0,0,0,0,0,0,,,checkpoint_missing,not_applicable
mbpp,monolithic,MBPP/267,run-35e17514,UNKNOWN,0,,0,True,,,,,0,0,0,0,0,0,0,0,,,checkpoint_missing,not_applicable
mbpp,monolithic,MBPP/277,run-466bf8ed,UNKNOWN,0,,0,,,,,,0,0,0,0,0,0,0,0,,,checkpoint_missing,not_applicable
mbpp,monolithic,MBPP/280,run-466bf8ed,UNKNOWN,0,,0,,,,,,0,0,0,0,0,0,0,0,,,checkpoint_missing,not_applicable
mbpp,monolithic,MBPP/281,run-1903b2a1,UNKNOWN,0,,0,,,,,,0,0,0,0,0,0,0,0,,,checkpoint_missing,not_applicable
mbpp,monolithic,MBPP/282,run-1903b2a1,UNKNOWN,0,,0,,,,,,0,0,0,0,0,0,0,0,,,checkpoint_missing,not_applicable
mbpp,monolithic,MBPP/287,run-1903b2a1,UNKNOWN,0,,0,,,,,,0,0,0,0,0,0,0,0,,,checkpoint_missing,not_applicable
mbpp,monolithic,MBPP/312,run-466bf8ed,UNKNOWN,0,,0,,,,,,0,0,0,0,0,0,0,0,,,checkpoint_missing,not_applicable
mbpp,monolithic,MBPP/400,run-466bf8ed,UNKNOWN,0,,0,,,,,,0,0,0,0,0,0,0,0,,,checkpoint_missing,not_applicable
mbpp,monolithic,MBPP/404,run-35e17514,UNKNOWN,0,,0,True,,,,,0,0,0,0,0,0,0,0,,,checkpoint_missing,not_applicable
mbpp,monolithic,MBPP/428,run-1903b2a1,UNKNOWN,0,,0,,,,,,0,0,0,0,0,0,0,0,,,checkpoint_missing,not_applicable
mbpp,monolithic,MBPP/439,run-35e17514,UNKNOWN,0,,0,True,,,,,0,0,0,0,0,0,0,0,,,checkpoint_missing,not_applicable
mbpp,monolithic,MBPP/450,run-35e17514,UNKNOWN,0,,0,True,,,,,0,0,0,0,0,0,0,0,,,checkpoint_missing,not_applicable
mbpp,monolithic,MBPP/455,run-1903b2a1,UNKNOWN,0,,0,,,,,,0,0,0,0,0,0,0,0,,,checkpoint_missing,not_applicable
mbpp,monolithic,MBPP/557,run-1903b2a1,UNKNOWN,0,,0,,,,,,0,0,0,0,0,0,0,0,,,checkpoint_missing,not_applicable
mbpp,monolithic,MBPP/558,run-1903b2a1,UNKNOWN,0,,0,,,,,,0,0,0,0,0,0,0,0,,,checkpoint_missing,not_applicable
