dataset,strategy,task_id,run_id,ts_unix,pipeline_config,trigger_policy,verifier_invoked,verifier_decision,repair_attempted,origin_stage,run_total_tokens,end_to_end_latency_s,parse_error_type,parse_error_text,architect,developer,qa,verifier,architect_total_tokens,developer_total_tokens,qa_total_tokens,verifier_total_tokens,architect_latency_s,developer_latency_s,qa_latency_s,verifier_latency_s,architect_error,developer_repair,developer_harm,verifier_repair,verifier_harm,run_index_for_task,run_count_for_task,is_latest_for_task,has_boolean_result,passed,error_type,error
mbpp,monolithic,MBPP/594,run-9da7f070,1771799038.12686,humaneval_monolithic,monolithic,0,,0,Monolithic,1140,10.442186,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
mbpp,monolithic,MBPP/74,run-9da7f070,1771799052.844447,humaneval_monolithic,monolithic,0,,0,Monolithic,1485,14.670263,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
mbpp,monolithic,MBPP/267,run-9da7f070,1771799054.717639,humaneval_monolithic,monolithic,0,,0,Monolithic,496,1.836719,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
mbpp,monolithic,MBPP/93,run-9da7f070,1771799064.731559,humaneval_monolithic,monolithic,0,,0,Monolithic,977,9.975853,SyntaxError,"invalid syntax (<unknown>, line 4)",,,,,,,,,,,,,,,,,,1,1,1,1,False,SyntaxError,"invalid syntax (<unknown>, line 4)"
mbpp,monolithic,MBPP/772,run-9da7f070,1771799075.121709,humaneval_monolithic,monolithic,0,,0,Monolithic,1038,10.347081,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
mbpp,monolithic,MBPP/568,run-9da7f070,1771799082.919151,humaneval_monolithic,monolithic,0,,0,Monolithic,803,7.756603,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
mbpp,monolithic,MBPP/615,run-9da7f070,1771799091.737177,humaneval_monolithic,monolithic,0,,0,Monolithic,974,8.772288,,,,,,,,,,,,,,,,,,,,1,1,1,1,False,AssertionError,AssertionError:
mbpp,monolithic,MBPP/404,run-9da7f070,1771799100.151231,humaneval_monolithic,monolithic,0,,0,Monolithic,1020,8.37094,SyntaxError,"invalid syntax (<unknown>, line 7)",,,,,,,,,,,,,,,,,,1,1,1,1,False,SyntaxError,"invalid syntax (<unknown>, line 7)"
mbpp,monolithic,MBPP/450,run-9da7f070,1771799108.843154,humaneval_monolithic,monolithic,0,,0,Monolithic,851,8.648608,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
mbpp,monolithic,MBPP/439,run-9da7f070,1771799125.024609,humaneval_monolithic,monolithic,0,,0,Monolithic,1307,16.136966,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
mbpp,monolithic,MBPP/753,run-9da7f070,1771799133.524973,humaneval_monolithic,monolithic,0,,0,Monolithic,929,8.455585,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
mbpp,monolithic,MBPP/740,run-9da7f070,1771799142.950605,humaneval_monolithic,monolithic,0,,0,Monolithic,1076,9.383623,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
mbpp,monolithic,MBPP/277,run-9da7f070,1771799153.052102,humaneval_monolithic,monolithic,0,,0,Monolithic,1012,10.058203,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
mbpp,monolithic,MBPP/68,run-9da7f070,1771799162.356829,humaneval_monolithic,monolithic,0,,0,Monolithic,1051,9.265476,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
mbpp,monolithic,MBPP/97,run-9da7f070,1771799173.516471,humaneval_monolithic,monolithic,0,,0,Monolithic,1077,11.14339,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
mbpp,monolithic,MBPP/635,run-9da7f070,1771799187.50383,humaneval_monolithic,monolithic,0,,0,Monolithic,1327,13.932689,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
mbpp,monolithic,MBPP/726,run-9da7f070,1771799196.864064,humaneval_monolithic,monolithic,0,,0,Monolithic,1052,9.317092,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
mbpp,monolithic,MBPP/577,run-9da7f070,1771799205.932089,humaneval_monolithic,monolithic,0,,0,Monolithic,1105,9.025711,SyntaxError,"invalid syntax (<unknown>, line 9)",,,,,,,,,,,,,,,,,,1,1,1,1,False,SyntaxError,"invalid syntax (<unknown>, line 9)"
mbpp,monolithic,MBPP/312,run-9da7f070,1771799213.348538,humaneval_monolithic,monolithic,0,,0,Monolithic,881,7.402999,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
mbpp,monolithic,MBPP/776,run-9da7f070,1771799224.373829,humaneval_monolithic,monolithic,0,,0,Monolithic,1216,10.984309,,,,,,,,,,,,,,,,,,,,1,1,1,1,False,AssertionError,AssertionError:
mbpp,monolithic,MBPP/604,run-9da7f070,1771799231.975247,humaneval_monolithic,monolithic,0,,0,Monolithic,937,7.589618,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
mbpp,monolithic,MBPP/117,run-9da7f070,1771799242.719327,humaneval_monolithic,monolithic,0,,0,Monolithic,1001,10.699152,,,,,,,,,,,,,,,,,,,,1,1,1,1,False,AssertionError,AssertionError:
mbpp,monolithic,MBPP/599,run-9da7f070,1771799250.126299,humaneval_monolithic,monolithic,0,,0,Monolithic,900,7.363803,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
mbpp,monolithic,MBPP/91,run-9da7f070,1771799259.623172,humaneval_monolithic,monolithic,0,,0,Monolithic,978,9.481858,SyntaxError,"invalid syntax (<unknown>, line 9)",,,,,,,,,,,,,,,,,,1,1,1,1,False,SyntaxError,"invalid syntax (<unknown>, line 9)"
mbpp,monolithic,MBPP/57,run-9da7f070,1771799262.099173,humaneval_monolithic,monolithic,0,,0,Monolithic,514,2.431478,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
mbpp,monolithic,MBPP/400,run-9da7f070,1771799271.670604,humaneval_monolithic,monolithic,0,,0,Monolithic,992,9.525661,,,,,,,,,,,,,,,,,,,,1,1,1,1,False,AssertionError,AssertionError:
mbpp,monolithic,MBPP/280,run-9da7f070,1771799281.589753,humaneval_monolithic,monolithic,0,,0,Monolithic,990,9.869519,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
