dataset,strategy,task_id,run_id,ts_unix,pipeline_config,trigger_policy,verifier_invoked,verifier_decision,repair_attempted,origin_stage,run_total_tokens,end_to_end_latency_s,parse_error_type,parse_error_text,planner,executor,critic,verifier,planner_total_tokens,executor_total_tokens,critic_total_tokens,verifier_total_tokens,planner_latency_s,executor_latency_s,critic_latency_s,verifier_latency_s,planner_error,executor_repair,executor_harm,verifier_repair,verifier_harm,run_index_for_task,run_count_for_task,is_latest_for_task,has_boolean_result,passed,error_type,error
mbpp,monolithic,MBPP/594,run-35e17514,1773679342.877132,mbpp_monolithic,monolithic,0,,0,Monolithic,1350,12.025211,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
mbpp,monolithic,MBPP/74,run-35e17514,1773679357.019891,mbpp_monolithic,monolithic,0,,0,Monolithic,1654,14.123698,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
mbpp,monolithic,MBPP/267,run-35e17514,1773679364.544405,mbpp_monolithic,monolithic,0,,0,Monolithic,988,7.508121,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
mbpp,monolithic,MBPP/93,run-35e17514,1773679374.244674,mbpp_monolithic,monolithic,0,,0,Monolithic,1048,9.681202,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
mbpp,monolithic,MBPP/772,run-35e17514,1773679383.538158,mbpp_monolithic,monolithic,0,,0,Monolithic,1020,9.245085,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
mbpp,monolithic,MBPP/568,run-35e17514,1773679390.944434,mbpp_monolithic,monolithic,0,,0,Monolithic,819,7.392305,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
mbpp,monolithic,MBPP/615,run-35e17514,1773679400.411096,mbpp_monolithic,monolithic,0,,0,Monolithic,954,9.445894,,,,,,,,,,,,,,,,,,,,1,1,1,1,False,AssertionError,AssertionError:
mbpp,monolithic,MBPP/404,run-35e17514,1773679405.504808,mbpp_monolithic,monolithic,0,,0,Monolithic,723,5.056978,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
mbpp,monolithic,MBPP/450,run-35e17514,1773679414.910961,mbpp_monolithic,monolithic,0,,0,Monolithic,983,9.389513,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
mbpp,monolithic,MBPP/439,run-35e17514,1773679430.193273,mbpp_monolithic,monolithic,0,,0,Monolithic,1312,15.26515,,,,,,,,,,,,,,,,,,,,1,1,1,1,True,,
mbpp,monolithic,MBPP/753,run-466bf8ed,1774018180.765852,mbpp_monolithic,monolithic,0,,0,Monolithic,971,10.998297,,,,,,,,,,,,,,,,,,,,1,1,1,0,,,
mbpp,monolithic,MBPP/740,run-466bf8ed,1774018191.311262,mbpp_monolithic,monolithic,0,,0,Monolithic,1143,10.519122,,,,,,,,,,,,,,,,,,,,1,1,1,0,,,
mbpp,monolithic,MBPP/277,run-466bf8ed,1774018202.716898,mbpp_monolithic,monolithic,0,,0,Monolithic,990,11.39069,,,,,,,,,,,,,,,,,,,,1,1,1,0,,,
mbpp,monolithic,MBPP/68,run-466bf8ed,1774018214.606294,mbpp_monolithic,monolithic,0,,0,Monolithic,1149,11.870739,,,,,,,,,,,,,,,,,,,,1,1,1,0,,,
mbpp,monolithic,MBPP/97,run-466bf8ed,1774018227.842471,mbpp_monolithic,monolithic,0,,0,Monolithic,1228,13.221623,,,,,,,,,,,,,,,,,,,,1,1,1,0,,,
mbpp,monolithic,MBPP/635,run-466bf8ed,1774018239.096818,mbpp_monolithic,monolithic,0,,0,Monolithic,1186,11.220271,,,,,,,,,,,,,,,,,,,,1,1,1,0,,,
mbpp,monolithic,MBPP/726,run-466bf8ed,1774018250.285126,mbpp_monolithic,monolithic,0,,0,Monolithic,1092,11.171341,,,,,,,,,,,,,,,,,,,,1,1,1,0,,,
mbpp,monolithic,MBPP/577,run-466bf8ed,1774018260.678687,mbpp_monolithic,monolithic,0,,0,Monolithic,1053,10.348615,,,,,,,,,,,,,,,,,,,,1,1,1,0,,,
mbpp,monolithic,MBPP/312,run-466bf8ed,1774018268.191724,mbpp_monolithic,monolithic,0,,0,Monolithic,781,7.483461,,,,,,,,,,,,,,,,,,,,1,1,1,0,,,
mbpp,monolithic,MBPP/776,run-466bf8ed,1774018281.119017,mbpp_monolithic,monolithic,0,,0,Monolithic,1379,12.914634,,,,,,,,,,,,,,,,,,,,1,1,1,0,,,
mbpp,monolithic,MBPP/604,run-466bf8ed,1774018291.883439,mbpp_monolithic,monolithic,0,,0,Monolithic,1024,10.727052,,,,,,,,,,,,,,,,,,,,1,1,1,0,,,
