dataset,strategy,view,rows,unique_task_ids,expected_task_count,missing_vs_expected,coverage_vs_expected_pct,rows_with_boolean,rows_without_boolean,pass_count,fail_count,unknown_bool_count,accuracy_eval_correct,accuracy_eval_total,accuracy_eval_pct,accuracy_eval_ci95_low_pct,accuracy_eval_ci95_high_pct,accuracy_expected_total,accuracy_expected_pct,fail_rate_eval_pct,unknown_rate_eval_pct,pass_rate_pct,run_total_tokens_avg,run_total_tokens_median,run_total_tokens_p90,end_to_end_latency_s_avg,end_to_end_latency_s_median,end_to_end_latency_s_p90,verifier_invoked_count,verifier_invoked_rate_pct,repair_attempted_count,repair_attempted_rate_pct,parse_error_rows,parse_error_rate_pct,top_error_type_1,top_error_count_1,top_error_type_2,top_error_count_2,top_error_type_3,top_error_count_3
bigcodebench,agentic,all_runs,50,50,200,150,25.0,50,0,26,24,0,26,50,52.0,38.511512,65.203088,200,13.0,48.0,0.0,52.0,4430.5,4391.5,5118.9,34.889859,27.988996,55.854189,0,0.0,0,0.0,14,28.0,AssertionError,16,TimeoutError,4,SyntaxError,2
bigcodebench,agentic_no_planner,all_runs,53,53,200,147,26.5,53,0,29,24,0,29,53,54.716981,41.453743,67.342632,200,14.5,45.283019,0.0,54.716981,2517.867925,2378.0,3285.8,11.277691,10.627198,13.875927,0,0.0,0,0.0,8,15.09434,AssertionError,18,SyntaxError,3,TimeoutError,3
bigcodebench,agentic_plus_verifier,all_runs,49,49,200,151,24.5,49,0,32,17,0,32,49,65.306122,51.310935,77.07579,200,16.0,34.693878,0.0,65.306122,5649.55102,4986.0,7748.2,62.182027,51.498853,117.634416,23,46.938776,23,46.938776,9,18.367347,AssertionError,14,TimeoutError,3,,
bigcodebench,monolithic,all_runs,57,57,200,143,28.5,57,0,28,29,0,28,57,49.122807,36.616068,61.74032,200,14.0,50.877193,0.0,49.122807,1885.315789,1904.0,2369.4,18.033718,16.851549,23.746836,0,0.0,0,0.0,0,0.0,AssertionError,26,TimeoutError,3,,
humaneval,agentic,all_runs,10,10,164,154,6.097561,10,0,10,0,0,10,10,100.0,72.245983,100.0,164,6.097561,0.0,0.0,100.0,2965.2,2961.0,3112.1,32.689612,32.419346,43.514828,0,0.0,0,0.0,0,0.0,,,,,,
humaneval,agentic_no_planner,all_runs,10,10,164,154,6.097561,10,0,10,0,0,10,10,100.0,72.245983,100.0,164,6.097561,0.0,0.0,100.0,977.4,968.5,1150.9,5.417651,5.452744,5.775632,0,0.0,0,0.0,0,0.0,,,,,,
humaneval,agentic_plus_verifier,all_runs,9,9,164,155,5.487805,9,0,9,0,0,9,9,100.0,70.084725,100.0,164,5.487805,0.0,0.0,100.0,2915.222222,2952.0,3052.0,25.276883,25.9321,28.82663,0,0.0,0,0.0,0,0.0,,,,,,
humaneval,monolithic,all_runs,16,16,164,148,9.756098,16,0,16,0,0,16,16,100.0,80.638658,100.0,164,9.756098,0.0,0.0,100.0,1125.9375,1152.5,1448.0,9.414607,9.684839,11.723555,0,0.0,0,0.0,0,0.0,,,,,,
mbpp,agentic,all_runs,50,50,200,150,25.0,10,40,9,1,0,9,10,90.0,59.584361,98.212425,200,4.5,10.0,0.0,90.0,2538.26,2555.0,2878.0,23.999228,22.501593,30.883333,0,0.0,0,0.0,0,0.0,AssertionError,1,,,,
mbpp,agentic_no_planner,all_runs,50,50,200,150,25.0,50,0,43,7,0,43,50,86.0,73.813543,93.049255,200,21.5,14.0,0.0,86.0,671.34,618.5,907.4,5.761593,5.580542,7.381545,0,0.0,0,0.0,0,0.0,AssertionError,7,,,,
mbpp,agentic_plus_verifier,all_runs,62,62,200,138,31.0,62,0,52,10,0,52,62,83.870968,72.793431,90.996028,200,26.0,16.129032,0.0,83.870968,3003.725806,2681.5,4279.0,29.874198,24.992332,45.286593,20,32.258065,20,32.258065,0,0.0,AssertionError,10,,,,
mbpp,monolithic,all_runs,50,50,200,150,25.0,10,40,9,1,0,9,10,90.0,59.584361,98.212425,200,4.5,10.0,0.0,90.0,1101.02,1073.5,1380.0,10.998774,10.860353,15.11819,0,0.0,0,0.0,0,0.0,AssertionError,1,,,,
