# Replication package checksum manifest
# root: C:/VScode/pipeline
# files: 375
# format: sha256,size_bytes,relative_path
f03a46e8cdadd7837de6b7536e1b33bd46f06093136614121aa82703c018eded,43,.env.example
d8f97d7d9d0c727b9b92aa9559b0a693beaa51ac33fa58e09ff136127ee72c9e,24,.gitignore
a9f3bbd28a303981fa5a9c0d17d549d599b3d894be1fa030508f48a3e5b7ea1c,1407,agents/base.py
39b5493f405cd8dceaf2cc73b5fa4c9d31e6f75b55d6343eb65748bd399d5958,1879,agents/critic.py
4022574f03ed17c653a72ab1adf1b7d42150c971fe07fd79b47bc578c37c95ba,1354,agents/executor.py
af04e4c389264050e8b6d23f220bddcea6ec6471128522d9a464e96bd3032ab4,1254,agents/planner.py
d6ecbd08e38444e36a1b440f4b87affc711cb32d0c41643c447746a0dc49f54d,1954,agents/verifier.py
b09cd6ffb273b9e4de57b130f33ee93098ec5a858e0a0cedd18d88627f62923b,20723,aggregate_blame_data.py
f85de0a346828dcf02faf0dc72941426b4c0fa29dc80f085900bbae730ba0e75,46487,aggregate_results.py
6d273277d375309fe071a52ca9718d71531b211031d9f01f4d76570458503c2e,7022,aggregated/accuracy_metrics.csv
db6a777d391a2db1fdab96352cf9e56432b05bf128f21166705352aea94e638a,2095,aggregated/accuracy_metrics_all_runs.csv
b03849efc4162f957f58c606eca7cd91ae0dd77c463c697271cc0f92790c9717,737739,aggregated/artifact_similarity_complexity_per_task.csv
188e5812c76593582a0e9820bea56e4bcb2ee77d030606de712a9a686a88f233,4356295,aggregated/artifact_similarity_complexity_per_task.jsonl
6d759bd327bf4d502d65b3e86cd813a20f8a1d018f82495197d50b933b0aa49a,6333,aggregated/artifact_similarity_complexity_summary.csv
66c370f2289168ad284f490923d82ca6e46fc44ed52a976eb002368a2f2cdc4d,796,aggregated/bigcodebench/agentic/accuracy_metrics.csv
938badd27f56f427d4da33cc0f038b8d77df35dcc6e5583930aec11732dc6382,434,aggregated/bigcodebench/agentic/accuracy_metrics_all_runs.csv
7aac49b6d01a4a2e8a56e13f149bef0314737bec52641d02e78b7493f20c44a6,55799,aggregated/bigcodebench/agentic/artifact_similarity_complexity_per_task.csv
97757f7dfce8ef8330f2d78d035ab593261a4f7de89eb241a6e2bfd73081f76a,311323,aggregated/bigcodebench/agentic/artifact_similarity_complexity_per_task.jsonl
3fc4c17d38b4ab1bda8a4bf2fdfcc20ef786eac5b0289bb9732bc814a96b2d43,941,aggregated/bigcodebench/agentic/artifact_similarity_complexity_summary.csv
a5ffa3663291eef36eedd342228b3dfcf91906f5a122bbde17458f677f051623,753,aggregated/bigcodebench/agentic/blame_summary.csv
72723998e4b3a18d6939a22a9018853aa313fd42f340eda835be5e52ce392550,26371,aggregated/bigcodebench/agentic/blame_task_level.csv
d4b0f50c389d9f8d3714e22c558ca6e66584a68e26691e3aeafa2ac7561907c9,1301,aggregated/bigcodebench/agentic/data_quality_report.csv
a4368cc5b50105301f5b1f7f51d9c50db927ad87a5ab27a52206cdfbc4953387,402,aggregated/bigcodebench/agentic/pass_at_k_report.csv
c399d00470246aeab151a9d336024415e53694bdfdd3ea89bf7b7ed97a0cbbc4,1034,aggregated/bigcodebench/agentic/strategy_summary.csv
c871979318f16f95fbd478e38aae82f137e0322fe10717f55d05f0a018cdff9b,1031,aggregated/bigcodebench/agentic/strategy_summary_all_runs.csv
98698184b8ac27a163a577cb0816c681e29c73c692628ebd1460c447963d5fcc,218044,aggregated/bigcodebench/agentic/task_level.csv
98698184b8ac27a163a577cb0816c681e29c73c692628ebd1460c447963d5fcc,218044,aggregated/bigcodebench/agentic/task_level_all_runs.csv
34499377c069999a9ce4d4343ae956dcf28ceac68da0883134de5b5960be4d9d,1200,aggregated/bigcodebench/agentic/token_stats_by_agent.csv
768090ffb0119f309cc669a218067f02fc875f1fcefd17a40b046e45ad1b20b7,1209,aggregated/bigcodebench/agentic/token_stats_by_agent_all_runs.csv
366603e089d846ae17edc7bb26513a94c67700b92564c19b706b9697e7b410ee,1043,aggregated/bigcodebench/agentic_exec_gate_plus_verifier_loop3/accuracy_metrics.csv
be4eca323e128c3fb18de7958655cdee6c572de4e1f5b6e0457d92945ad93ec9,464,aggregated/bigcodebench/agentic_exec_gate_plus_verifier_loop3/accuracy_metrics_all_runs.csv
a2bf03e7c0b6b6fa0e476576b0c8c89bd4977e9e0cc501341380ee7d1d3fcf11,60925,aggregated/bigcodebench/agentic_exec_gate_plus_verifier_loop3/artifact_similarity_complexity_per_task.csv
2e1347eaafac43c1d8d190d083bb70b441f9be7cdca3dc76844e430acb327e68,316009,aggregated/bigcodebench/agentic_exec_gate_plus_verifier_loop3/artifact_similarity_complexity_per_task.jsonl
26d199c06dac232b9b254c7a9acaa826c27b0645747438864a2e0190ee206adf,987,aggregated/bigcodebench/agentic_exec_gate_plus_verifier_loop3/artifact_similarity_complexity_summary.csv
36cf35034fa320645a3384888a4a34e97485b5198809b4910238cfc856d7bc95,819,aggregated/bigcodebench/agentic_exec_gate_plus_verifier_loop3/blame_summary.csv
07fd1d97613508bcd3e1bbea0bbb4a121801f8eccce2d1b21ce53b8f230a3465,36047,aggregated/bigcodebench/agentic_exec_gate_plus_verifier_loop3/blame_task_level.csv
956dd6a48b60b0f0e1dc954d842a375470fd94fd26f0e964a2b651b008bb2de3,1465,aggregated/bigcodebench/agentic_exec_gate_plus_verifier_loop3/data_quality_report.csv
d968857dff82a8a7f9c7925f7d5d9244a820a5725201977244f9068349cde2ed,432,aggregated/bigcodebench/agentic_exec_gate_plus_verifier_loop3/pass_at_k_report.csv
fcbd2212ecb6399afb38186d70b8a4fe0ce90f59912b2e3615e6d7b23fdd2887,1071,aggregated/bigcodebench/agentic_exec_gate_plus_verifier_loop3/strategy_summary.csv
cc50e735056ff5a6f7ba3348af55147feb3811c1ae60c81b2ffee1badb8ce9ea,1068,aggregated/bigcodebench/agentic_exec_gate_plus_verifier_loop3/strategy_summary_all_runs.csv
51cc9e6b6d3028770718288ee537b97fae65c590bbd28676b88e6a86f12f861f,182017,aggregated/bigcodebench/agentic_exec_gate_plus_verifier_loop3/task_level.csv
51cc9e6b6d3028770718288ee537b97fae65c590bbd28676b88e6a86f12f861f,182017,aggregated/bigcodebench/agentic_exec_gate_plus_verifier_loop3/task_level_all_runs.csv
d3c2c1e17650a781c7ab252a5c335ab9af625e387f4df6f20eebe10325aca2da,1343,aggregated/bigcodebench/agentic_exec_gate_plus_verifier_loop3/token_stats_by_agent.csv
a9162d39b15962a866f623ee326e2afb879cf8df5e58ba247f60f8fc1311faf1,1356,aggregated/bigcodebench/agentic_exec_gate_plus_verifier_loop3/token_stats_by_agent_all_runs.csv
b7a18886ec53d8c77d0c4bf2cf17f2d3c6423fc1e4e34f5f4f35716c1ac6e0a2,717,aggregated/bigcodebench/agentic_no_planner/accuracy_metrics.csv
9dff75d3ac511b15926a3de305365345547ff2f12f30b81c022bbe068d590b33,445,aggregated/bigcodebench/agentic_no_planner/accuracy_metrics_all_runs.csv
11c12bfc04ffec69353038e449258a77cf6295657be96148614e17833ad26399,58700,aggregated/bigcodebench/agentic_no_planner/artifact_similarity_complexity_per_task.csv
092744945aca33105099fb66853370cd2f7c1daaff417ff7de1fa51d3cc49dee,314802,aggregated/bigcodebench/agentic_no_planner/artifact_similarity_complexity_per_task.jsonl
30481fb91d24261486dec5ae842a7b5f9800c54c7f5f2c9498f7970edda2d2ca,972,aggregated/bigcodebench/agentic_no_planner/artifact_similarity_complexity_summary.csv
103d3279aaabd88e5ca7d1743f31d41f18a9b051841761896c24f2e8ebed64c1,764,aggregated/bigcodebench/agentic_no_planner/blame_summary.csv
